timestamp,mode,channel,score_all_abs_ma,max_abs_current_ma,max_temp_c,slider_0,cmd_norm_0,pos_norm_0,err_norm_0,curr_ma_0,temp_c_0,slider_1,cmd_norm_1,pos_norm_1,err_norm_1,curr_ma_1,temp_c_1,slider_2,cmd_norm_2,pos_norm_2,err_norm_2,curr_ma_2,temp_c_2,slider_3,cmd_norm_3,pos_norm_3,err_norm_3,curr_ma_3,temp_c_3,slider_4,cmd_norm_4,pos_norm_4,err_norm_4,curr_ma_4,temp_c_4,slider_5,cmd_norm_5,pos_norm_5,err_norm_5,curr_ma_5,temp_c_5,slider_6,cmd_norm_6,pos_norm_6,err_norm_6,curr_ma_6,temp_c_6
1780975693.570739,baseline,,567.6666666666666,264.3333333333333,38.0,0.014,0.014,0.014053559166857405,5.355916685740453e-05,8.666666666666666,36.333333333333336,0.0,0.0,0.0,0.0,264.3333333333333,38.0,0.055,0.055,0.054352635996032655,-0.0006473640039673448,-17.333333333333332,38.0,0.0,0.0,0.0,0.0,147.33333333333334,38.0,0.0,0.0,0.0,0.0,10.833333333333334,36.0,0.0,0.0,0.0,0.0,32.5,35.0,0.0,0.0,0.0,0.0,86.66666666666667,38.0
1780975694.423518,sweep,0,855.8333333333334,309.8333333333333,38.0,0.0,0.0,0.012293685308105083,0.012293685308105083,-309.8333333333333,36.0,0.0,0.0,0.0,0.0,260.0,38.0,0.055,0.055,0.054352635996032655,-0.0006473640039673448,-8.666666666666666,38.0,0.0,0.0,0.0,0.0,140.83333333333334,38.0,0.0,0.0,0.0,0.0,17.333333333333332,36.0,0.0,0.0,0.0,0.0,30.333333333333332,35.0,0.0,0.0,0.0,0.0,88.83333333333333,38.0
1780975695.236902,sweep,0,775.6666666666666,260.0,38.333333333333336,0.005,0.005,0.013168535896849012,0.008168535896849013,-216.66666666666666,36.0,0.0,0.0,0.0,0.0,260.0,38.333333333333336,0.055,0.055,0.05412883700821444,-0.0008711629917855582,-26.0,38.0,0.0,0.0,0.0,0.0,136.5,38.0,0.0,0.0,0.0,0.0,15.166666666666666,36.0,0.0,0.0,0.0,0.0,32.5,35.0,0.0,0.0,0.0,0.0,88.83333333333333,38.0
1780975696.047134,sweep,0,652.1666666666667,257.8333333333333,38.333333333333336,0.01,0.01,0.013168535896849012,0.003168535896849012,-73.66666666666667,36.0,0.0,0.0,0.0,0.0,257.8333333333333,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-32.5,38.0,0.0,0.0,0.0,0.0,143.0,38.0,0.0,0.0,0.0,0.0,19.5,36.0,0.0,0.0,0.0,0.0,36.833333333333336,35.0,0.0,0.0,0.0,0.0,88.83333333333333,38.0
1780975696.862123,sweep,0,565.5,262.1666666666667,38.333333333333336,0.015,0.015,0.014923323414969101,-7.66765850308982e-05,10.833333333333334,36.666666666666664,0.0,0.0,0.0,0.0,262.1666666666667,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-32.5,38.0,0.0,0.0,0.0,0.0,123.5,38.0,0.0,0.0,0.0,0.0,10.833333333333334,36.0,0.0,0.0,0.0,0.0,32.5,35.0,0.0,0.0,0.0,0.0,93.16666666666667,38.0
1780975697.674149,sweep,0,810.3333333333333,257.8333333333333,38.333333333333336,0.02,0.02,0.01931792172121767,-0.0006820782787823297,-238.33333333333334,36.333333333333336,0.0,0.0,0.0,0.0,257.8333333333333,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-47.666666666666664,38.0,0.0,0.0,0.0,0.0,138.66666666666666,38.0,0.0,0.0,0.0,0.0,10.833333333333334,36.0,0.0,0.0,0.0,0.0,28.166666666666668,35.0,0.0,0.0,0.0,0.0,88.83333333333333,38.0
1780975698.486646,sweep,0,606.6666666666666,260.0,38.333333333333336,0.025,0.025,0.022837669438722313,-0.002162330561277688,-49.833333333333336,36.666666666666664,0.0,0.0,0.0,0.0,260.0,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-28.166666666666668,38.0,0.0,0.0,0.0,0.0,125.66666666666667,38.0,0.0,0.0,0.0,0.0,17.333333333333332,36.0,0.0,0.0,0.0,0.0,39.0,35.0,0.0,0.0,0.0,0.0,86.66666666666667,38.0
1780975699.302756,sweep,0,623.9999999999999,257.8333333333333,38.0,0.03,0.03,0.026647338572264184,-0.0033526614277358154,-69.33333333333333,37.0,0.0,0.0,0.0,0.0,257.8333333333333,38.0,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-30.333333333333332,38.0,0.0,0.0,0.0,0.0,138.66666666666666,38.0,0.0,0.0,0.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,28.166666666666668,35.0,0.0,0.0,0.0,0.0,86.66666666666667,38.0
1780975700.114042,sweep,0,643.4999999999999,264.3333333333333,38.333333333333336,0.035,0.035,0.029872078533099356,-0.005127921466900647,-78.0,37.0,0.0,0.0,0.0,0.0,264.3333333333333,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-32.5,38.0,0.0,0.0,0.0,0.0,134.33333333333334,38.0,0.0,0.0,0.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,34.666666666666664,35.0,0.0,0.0,0.0,0.0,86.66666666666667,38.0
1780975700.923172,sweep,0,647.8333333333334,262.1666666666667,38.333333333333336,0.04,0.04,0.03309173215330231,-0.006908267846697694,-78.0,37.0,0.0,0.0,0.0,0.0,262.1666666666667,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-28.166666666666668,38.0,0.0,0.0,0.0,0.0,134.33333333333334,38.0,0.0,0.0,0.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,39.0,35.0,0.0,0.0,0.0,0.0,93.16666666666667,38.0
1780975701.738463,sweep,0,641.3333333333333,255.66666666666666,38.0,0.045,0.045,0.03660639353017472,-0.00839360646982528,-78.0,37.0,0.0,0.0,0.0,0.0,255.66666666666666,38.0,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-30.333333333333332,38.0,0.0,0.0,0.0,0.0,140.83333333333334,38.0,0.0,0.0,0.0,0.0,15.166666666666666,36.0,0.0,0.0,0.0,0.0,32.5,35.0,0.0,0.0,0.0,0.0,88.83333333333333,38.0
1780975702.553445,sweep,0,1674.8333333333333,1087.6666666666667,38.333333333333336,0.05,0.05,0.04012105490704712,-0.009878945092952882,-1087.6666666666667,37.0,0.0,0.0,0.0,0.0,257.8333333333333,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-67.16666666666667,38.0,0.0,0.0,0.0,0.0,149.5,38.0,0.0,0.0,0.0,0.0,10.833333333333334,36.0,0.0,0.0,0.0,0.0,30.333333333333332,35.0,0.0,0.0,0.0,0.0,71.5,38.0
1780975703.465858,sweep,1,1029.1666666666667,472.3333333333333,38.666666666666664,0.014,0.014,0.02459754329747463,0.010597543297474631,-472.3333333333333,37.0,0.0,0.0,0.0,0.0,260.0,38.666666666666664,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-32.5,38.0,0.0,0.0,0.0,0.0,140.83333333333334,38.0,0.0,0.0,0.0,0.0,6.5,36.0,0.0,0.0,0.0,0.0,30.333333333333332,35.0,0.0,0.0,0.0,0.0,86.66666666666667,38.0
1780975704.268404,sweep,1,1070.3333333333333,463.6666666666667,38.666666666666664,0.014,0.014,0.02459754329747463,0.010597543297474631,-463.6666666666667,37.0,0.005,0.005,0.0,-0.005,292.5,38.666666666666664,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-41.166666666666664,38.0,0.0,0.0,0.0,0.0,147.33333333333334,38.0,0.0,0.0,0.0,0.0,8.666666666666666,36.0,0.0,0.0,0.0,0.0,34.666666666666664,35.0,0.0,0.0,0.0,0.0,82.33333333333333,38.0
1780975705.074317,sweep,1,1063.8333333333333,472.3333333333333,39.0,0.014,0.014,0.02459754329747463,0.010597543297474631,-472.3333333333333,37.0,0.01,0.01,0.0,-0.01,260.0,39.0,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-45.5,38.0,0.0,0.0,0.0,0.0,143.0,38.0,0.0,0.0,0.0,0.0,10.833333333333334,36.0,0.0,0.0,0.0,0.0,36.833333333333336,35.0,0.0,0.0,0.0,0.0,95.33333333333333,38.0
1780975705.888026,sweep,1,1529.6666666666667,751.8333333333334,38.333333333333336,0.014,0.014,0.02459754329747463,0.010597543297474631,-459.3333333333333,37.0,0.015,0.015,0.0,-0.015,751.8333333333334,38.333333333333336,0.055,0.055,0.054016937514305335,-0.0009830624856946649,-34.666666666666664,38.0,0.0,0.0,0.0,0.0,136.5,38.0,0.0,0.0,0.0,0.0,17.333333333333332,36.0,0.0,0.0,0.0,0.0,39.0,35.0,0.0,0.0,0.0,0.0,91.0,38.0
