timestamp,elapsed_s,movement,phase,pose_scale,max_abs_current_ma,max_abs_current_channel,max_abs_current_channel_name,max_temp_c,cmd_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,curr_raw_0_thumb_abd,temp_c_0_thumb_abd,cmd_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,curr_raw_1_thumb_flex,temp_c_1_thumb_flex,cmd_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,curr_raw_2_thumb_tendon,temp_c_2_thumb_tendon,cmd_3_index,pos_3_index,curr_ma_3_index,curr_raw_3_index,temp_c_3_index,cmd_4_middle,pos_4_middle,curr_ma_4_middle,curr_raw_4_middle,temp_c_4_middle,cmd_5_ring,pos_5_ring,curr_ma_5_ring,curr_raw_5_ring,temp_c_5_ring,cmd_6_pinky,pos_6_pinky,curr_ma_6_pinky,curr_raw_6_pinky,temp_c_6_pinky
2026-06-10T11:54:29.544,1.5518880410090787,initial_open,settle,1.0,331.5,2,thumb_tendon,32.0,0.0,0.007904173342488746,-305.5,-47.0,32.0,0.0,0.0,234.0,36.0,32.0,0.0,0.054688334477759976,-331.5,-51.0,32.0,0.0,0.0,71.5,11.0,30.0,0.0,0.0,65.0,10.0,30.0,0.0,0.0,91.0,14.0,31.0,0.0,0.0,91.0,14.0,31.0
2026-06-10T11:54:29.641,1.648869458003901,touch_pinkie,ramp,1.0,1163.5,1,thumb_flex,33.0,17.647058823529413,0.11071946288242923,227.5,35.0,33.0,6.176470588235294,0.06085297932402533,1163.5,179.0,32.0,4.058823529411765,0.0865644312199588,-234.0,-36.0,32.0,0.0,0.0,91.0,14.0,30.0,0.0,0.0,58.5,9.0,30.0,0.0,0.0,110.5,17.0,31.0,8.823529411764707,0.05673304341191729,871.0,134.0,31.0
2026-06-10T11:54:29.743,1.7515317500074161,touch_pinkie,ramp,1.0,1098.5,1,thumb_flex,32.0,35.294117647058826,0.31018539711604487,-260.0,-40.0,32.0,12.352941176470589,0.20456244754711222,1098.5,169.0,32.0,8.11764705882353,0.14227512016479743,-162.5,-25.0,32.0,0.0,0.0,65.0,10.0,30.0,0.0,0.0,58.5,9.0,30.0,0.0,0.0,104.0,16.0,31.0,17.647058823529413,0.1650263218127718,390.0,60.0,31.0
2026-06-10T11:54:29.843,1.8512360410095425,touch_pinkie,ramp,1.0,955.5,1,thumb_flex,33.0,52.94117647058824,0.4894483863584344,-663.0,-102.0,33.0,18.529411764705884,0.3338826581216144,955.5,147.0,32.0,12.176470588235293,0.19160753795681698,-39.0,-6.0,32.0,0.0,0.0,65.0,10.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,91.0,14.0,31.0,26.47058823529412,0.26295872434576945,169.0,26.0,31.0
2026-06-10T11:54:29.946,1.954540500009898,touch_pinkie,ramp,1.0,1157.0,1,thumb_flex,33.0,70.58823529411765,0.6634317540245669,-364.0,-56.0,33.0,24.705882352941178,0.46152437628748,1157.0,178.0,32.0,16.23529411764706,0.24193179217212177,-234.0,-36.0,32.0,0.0,0.0,58.5,9.0,30.0,0.0,0.0,52.0,8.0,30.0,0.0,0.0,58.5,9.0,31.0,35.294117647058826,0.3599755855649653,97.5,15.0,31.0
2026-06-10T11:54:30.042,2.0499470829963684,touch_pinkie,ramp,1.0,1189.5,1,thumb_flex,32.0,88.23529411764706,0.8207370107576104,-201.5,-31.0,32.0,30.88235294117647,0.5748073548485542,1189.5,183.0,32.0,20.294117647058822,0.28589303425650414,-364.0,-56.0,32.0,0.0,0.0,58.5,9.0,30.0,0.0,0.0,45.5,7.0,30.0,0.0,0.0,188.5,29.0,31.0,44.11764705882353,0.4459906919966431,526.5,81.0,31.0
2026-06-10T11:54:30.109,2.117208166004275,touch_pinkie,ramp,1.0,1092.0,1,thumb_flex,33.0,100.0,0.9420004577706568,208.0,32.0,33.0,35.0,0.6669413290608072,1092.0,168.0,32.0,23.0,0.3207904173342489,-292.5,-45.0,32.0,0.0,0.0,97.5,15.0,30.0,0.0,0.0,71.5,11.0,30.0,0.0,0.0,130.0,20.0,31.0,50.0,0.5146410315098802,643.5,99.0,31.0
2026-06-10T11:54:30.216,2.22443104100239,touch_pinkie,hold,1.0,1449.5,1,thumb_flex,33.0,100.0,0.992965590905623,266.5,41.0,33.0,35.0,0.7058213168535897,1449.5,223.0,32.0,23.0,0.3358968490119783,-500.5,-77.0,32.0,0.0,0.0,110.5,17.0,30.0,0.0,0.0,52.0,8.0,30.0,0.0,0.0,97.5,15.0,31.0,50.0,0.5478904402227818,1014.0,156.0,31.0
2026-06-10T11:54:30.324,2.332644333000644,touch_pinkie,hold,1.0,1443.0,1,thumb_flex,32.0,100.0,0.992965590905623,208.0,32.0,32.0,35.0,0.7058213168535897,1443.0,222.0,32.0,23.0,0.3358968490119783,-513.5,-79.0,32.0,0.0,0.0,91.0,14.0,30.0,0.0,0.0,26.0,4.0,30.0,0.0,0.0,97.5,15.0,31.0,50.0,0.5478904402227818,1033.5,159.0,31.0
2026-06-10T11:54:30.431,2.439644666010281,touch_pinkie,hold,1.0,1462.5,1,thumb_flex,33.0,100.0,0.992965590905623,221.0,34.0,33.0,35.0,0.7058213168535897,1462.5,225.0,32.0,23.0,0.3358968490119783,-500.5,-77.0,32.0,0.0,0.0,110.5,17.0,30.0,0.0,0.0,13.0,2.0,30.0,0.0,0.0,32.5,5.0,31.0,50.0,0.5478904402227818,1033.5,159.0,31.0
2026-06-10T11:54:30.538,2.5464849999989383,touch_pinkie,hold,1.0,1436.5,1,thumb_flex,33.0,100.0,0.992965590905623,240.5,37.0,33.0,35.0,0.7058213168535897,1436.5,221.0,32.0,23.0,0.3358968490119783,-520.0,-80.0,32.0,0.0,0.0,110.5,17.0,30.0,0.0,0.0,32.5,5.0,30.0,0.0,0.0,0.0,0.0,31.0,50.0,0.5478904402227818,1027.0,158.0,31.0
2026-06-10T11:54:30.637,2.645065541000804,hold_pinkie,ramp,1.0,1430.0,1,thumb_flex,33.0,100.0,0.992965590905623,240.5,37.0,33.0,35.0,0.7058213168535897,1430.0,220.0,32.0,23.0,0.3358968490119783,-520.0,-80.0,32.0,0.0,0.0,78.0,12.0,30.0,0.0,0.0,13.0,2.0,30.0,0.0,0.0,0.0,0.0,31.0,50.0,0.5478904402227818,1014.0,156.0,31.0
2026-06-10T11:54:30.738,2.7461029999976745,hold_pinkie,ramp,1.0,1430.0,1,thumb_flex,33.0,100.0,0.992965590905623,260.0,40.0,33.0,35.0,0.7058213168535897,1430.0,220.0,32.0,23.0,0.3358968490119783,-500.5,-77.0,32.0,0.0,0.0,78.0,12.0,30.0,0.0,0.0,6.5,1.0,30.0,0.0,0.0,26.0,4.0,31.0,50.0,0.5478904402227818,1033.5,159.0,31.0
