timestamp,elapsed_s,label,max_abs_current_ma,max_temp_c,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
2026-06-30T10:01:37.569,1.553066791035235,initial_rest,130.0,42.0,0.014053559166857405,0.014923323414969101,-45.5,36.0,0.0,0.0,110.5,40.0,0.00032043945983062307,0.0,13.0,38.0,0.0,0.0,52.0,41.0,0.000289921416037232,0.000289921416037232,0.0,39.0,0.0,0.0,130.0,42.0,0.0,0.0,39.0,40.0
2026-06-30T10:01:37.626,1.6104982499964535,step_0,663.0,42.0,0.007026779583428702,0.009658960860608835,-84.5,36.0,0.0,0.0,130.0,40.0,0.0624597059796006,0.04058899824521248,572.0,38.0,0.0,0.0,84.5,41.0,0.07028992141603724,0.04422064545662623,-663.0,39.0,0.05612776428461075,0.03263904783703365,-130.0,42.0,0.07,0.04147402151522087,-500.5,40.0
2026-06-30T10:01:37.954,1.9382925410754979,step_3,611.0,42.0,0.0,0.004379339284351873,-117.0,36.0,0.07,0.07859922178988327,468.0,40.0,0.1915348842740059,0.2046845197222858,-416.0,38.0,0.034503273665905,0.0417792019531548,611.0,41.0,0.4902899214160373,0.45728236820019835,-104.0,39.0,0.06,0.03447013046463722,45.5,42.0,0.49000000000000005,0.45667200732433044,-156.0,40.0
2026-06-30T10:01:38.286,2.2705978750018403,step_6,533.0,42.0,0.4387479778528214,0.4068513008316167,-344.5,36.0,0.04360222816467285,0.0490272373540856,136.5,40.0,0.33507949113845825,0.3412680247196155,-383.5,38.0,0.02380097284913063,0.026840619516289004,533.0,41.0,0.5002558529376984,0.498771648737316,279.5,39.0,0.31474196672439575,0.2852216372930495,-52.0,42.0,0.6034092009067535,0.6018768596932936,214.5,40.0
2026-06-30T10:01:38.618,2.602484375005588,step_9,1027.0,42.0,0.4387479778528215,0.47362478065156016,357.5,36.0,0.1450209841132164,0.13017471580071718,539.5,40.0,0.010483995676040636,0.01441977569237812,-169.0,38.0,0.21000000000000002,0.17174029144731823,-240.5,41.0,0.43427043437957763,0.45941863126573584,988.0,39.0,0.4052504003047943,0.4164034485389487,819.0,42.0,0.40368329763412475,0.43013656824597546,1027.0,40.0
2026-06-30T10:01:38.947,2.9317175410687923,step_12,981.5,42.0,0.24919394159317018,0.2776684214541848,-117.0,36.0,0.07463030533865095,0.048172732127870606,214.5,40.0,0.0,0.00032043945983062307,65.0,38.0,0.39041481137275696,0.40999465934233614,981.5,41.0,0.0421352171897888,0.05703822384985122,643.5,39.0,0.3458981239795685,0.31696040283817806,305.5,42.0,0.026841648817062358,0.03569085221637293,611.0,40.0
2026-06-30T10:01:39.275,3.2598614579765126,step_15,838.5,42.0,0.049031653225421905,0.06677347981994354,-91.0,36.0,0.48849178411997857,0.44631113145647366,838.5,40.0,0.12394484102725983,0.09562829022659647,409.5,38.0,0.09599927127361296,0.07290760662241551,240.5,41.0,0.008259335532784462,0.006088349736781872,-136.5,39.0,0.7058981239795685,0.6763256275272755,-19.5,42.0,0.2466452792286873,0.22238498512245367,71.5,40.0
2026-06-30T10:01:39.601,3.5851283749798313,step_18,656.5,42.0,0.45,0.4217898832684825,-149.5,36.0,0.38294331073760984,0.3955901426718547,604.5,40.0,0.4148537665605545,0.4211337453269245,-331.5,38.0,0.06289376504719257,0.06741435873960479,520.0,41.0,0.36651867106556896,0.33800259403372246,-253.5,39.0,0.5115480697154999,0.5121995880064087,624.0,42.0,0.42381127178668976,0.42952620737010755,656.5,40.0
2026-06-30T10:01:39.919,3.90329849999398,step_21,923.0,42.0,0.45000000000000007,0.4780193789578088,266.5,36.0,0.06318629626184702,0.07183947508964675,312.0,40.0,0.048783630728721605,0.06341649500267033,-656.5,38.0,0.21000000000000002,0.17753871976806287,-305.5,41.0,0.4643034267425537,0.4868696116578927,923.0,39.0,0.5097149634361267,0.5243915465018693,864.5,42.0,0.24133503437042236,0.24678416113527124,695.5,40.0
2026-06-30T10:01:40.247,4.231713458080776,step_24,1098.5,42.0,0.22285160923004152,0.25833524071107045,156.0,36.0,0.2797478322684765,0.24344243533989468,357.5,40.0,0.0,0.00032043945983062307,45.5,39.0,0.31004887104034423,0.34258030060273137,1098.5,41.0,0.057151713371276835,0.08448920424200809,780.0,39.0,0.3790340995788574,0.34441138323033493,58.5,42.0,0.37761156260967255,0.36606393530174713,429.0,40.0
