timestamp,elapsed_s,label,max_abs_current_ma,max_temp_c,mapping_candidate,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,raw_sim_action_0_thumb_abd,sim_ctrl_0_thumb_abd,sim_norm_0_thumb_abd,real_target_preclip_0_thumb_abd,real_target_after_clip_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,raw_sim_action_1_thumb_flex,sim_ctrl_1_thumb_flex,sim_norm_1_thumb_flex,real_target_preclip_1_thumb_flex,real_target_after_clip_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,raw_sim_action_2_thumb_tendon,sim_ctrl_2_thumb_tendon,sim_norm_2_thumb_tendon,real_target_preclip_2_thumb_tendon,real_target_after_clip_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,raw_sim_action_3_index,sim_ctrl_3_index,sim_norm_3_index,real_target_preclip_3_index,real_target_after_clip_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,raw_sim_action_4_middle,sim_ctrl_4_middle,sim_norm_4_middle,real_target_preclip_4_middle,real_target_after_clip_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,raw_sim_action_5_ring,sim_ctrl_5_ring,sim_norm_5_ring,real_target_preclip_5_ring,real_target_after_clip_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky,raw_sim_action_6_pinky,sim_ctrl_6_pinky,sim_norm_6_pinky,real_target_preclip_6_pinky,real_target_after_clip_6_pinky
2026-07-03T16:24:44.303,1.5531990829622373,initial_rest,214.5,36.0,,0.014053559166857405,0.015808346684977492,-71.5,35.0,,,,,,0.0,0.0,214.5,34.0,,,,,,0.00032043945983062307,0.0,32.5,36.0,,,,,,0.0,0.0,71.5,35.0,,,,,,0.000289921416037232,0.0,19.5,35.0,,,,,,0.0,0.0,117.0,35.0,,,,,,0.0,0.0,78.0,35.0,,,,,
2026-07-03T16:24:44.393,1.64359345799312,pregrasp_0,416.0,36.0,,0.033715762569619286,0.030746929121843288,45.5,35.0,,,,,,0.006666666666666666,0.0,416.0,34.0,,,,,,0.0069604028381780704,0.006027313649195084,-6.5,36.0,,,,,,0.009999999999999998,0.005477988860914015,403.0,35.0,,,,,,0.010265761298034129,0.009140154116121157,32.5,35.0,,,,,,0.009999999999999998,0.006698710612649729,409.5,35.0,,,,,,0.009999999999999998,0.007919432364385443,162.5,35.0,,,,,
2026-07-03T16:24:44.485,1.7352370829321444,pregrasp_1,643.5,36.0,,0.05337796597238117,0.04919508659494927,52.0,35.0,,,,,,0.013333333333333332,0.0,643.5,35.0,,,,,,0.013600366216525519,0.013076981765468832,117.0,36.0,,,,,,0.019999999999999997,0.015243762874799727,396.5,35.0,,,,,,0.020241601180031023,0.019211108567940796,45.5,35.0,,,,,,0.019999999999999997,0.01585412375066758,513.5,35.0,,,,,,0.019999999999999997,0.017685206378271152,117.0,35.0,,,,,
2026-07-03T16:24:44.573,1.8230441669002175,pregrasp_2,585.0,36.0,,0.07304016937514306,0.07029831387808042,58.5,35.0,,,,,,0.02,0.005065995269703212,585.0,34.0,,,,,,0.020240329594872968,0.019455252918287938,-26.0,36.0,,,,,,0.03,0.025314717326619364,318.5,35.0,,,,,,0.030217441062027922,0.02958724345769436,-26.0,35.0,,,,,,0.03,0.02561989776455329,526.5,35.0,,,,,,0.03,0.027450980392156862,195.0,35.0,,,,,
2026-07-03T16:24:44.661,1.9111592499539256,pregrasp_3,578.5,36.0,,0.09270237277790494,0.08874647135118639,39.0,35.0,,,,,,0.026666666666666665,0.011825741969939728,578.5,34.0,,,,,,0.026880292973220414,0.02583352407110704,-39.0,36.0,,,,,,0.039999999999999994,0.035080491340505074,468.0,35.0,,,,,,0.040193280944024815,0.038742656595712216,58.5,35.0,,,,,,0.039999999999999994,0.03569085221637293,565.5,35.0,,,,,,0.039999999999999994,0.0375219348439765,143.0,35.0,,,,,
2026-07-03T16:24:44.748,1.9985959579935297,pregrasp_4,676.0,36.0,,0.11236457618066682,0.10894941634241245,71.5,35.0,,,,,,0.03333333333333333,0.016891737239642938,676.0,35.0,,,,,,0.03352025635156786,0.03221179522392614,-71.5,36.0,,,,,,0.05,0.04483100633249409,435.5,35.0,,,,,,0.05016912082602172,0.04879835202563516,-13.0,35.0,,,,,,0.05,0.045136186770428015,617.5,35.0,,,,,,0.05,0.046967269398031586,247.0,35.0,,,,,
2026-07-03T16:24:44.839,2.089030332979746,pregrasp_5,604.5,36.0,,0.1320267795834287,0.1300526436255436,-13.0,35.0,,,,,,0.04,0.024505989166094453,604.5,34.0,,,,,,0.04016021972991531,0.03825436789501793,-130.0,36.0,,,,,,0.06,0.0545967803463798,481.0,35.0,,,,,,0.06014496070801861,0.057953765163653005,162.5,35.0,,,,,,0.06,0.05520714122224765,591.5,35.0,,,,,,0.06,0.05703822384985122,318.5,35.0,,,,,
2026-07-03T16:24:44.931,2.1807785829296336,pregrasp_6,624.0,36.0,,0.1516889829861906,0.14850080109864958,65.0,35.0,,,,,,0.04666666666666667,0.03126573586633097,624.0,35.0,,,,,,0.04680018310826276,0.04461738002594034,-156.0,36.0,,,,,,0.07,0.0643625543602655,578.5,35.0,,,,,,0.07012080059001552,0.06680399786373693,279.5,35.0,,,,,,0.07,0.06497291523613337,611.0,35.0,,,,,,0.07,0.066498817425803,325.0,35.0,,,,,
2026-07-03T16:24:45.020,2.2707157919649035,pregrasp_7,643.5,36.0,,0.17135118638895247,0.16958876935988404,0.0,35.0,,,,,,0.05333333333333333,0.03802548256656748,643.5,35.0,,,,,,0.053440146486610204,0.05133134966048676,-162.5,36.0,,,,,,0.07999999999999999,0.07443350881208514,591.5,35.0,,,,,,0.0800966404720124,0.07626459143968872,318.5,35.0,,,,,,0.07999999999999999,0.075043869687953,624.0,35.0,,,,,,0.07999999999999999,0.07656977187762265,240.5,35.0,,,,,
2026-07-03T16:24:45.111,2.3611187499482185,pregrasp_8,656.5,36.0,,0.19101338979171434,0.18803692683299,65.0,35.0,,,,,,0.06,0.04310673685816739,656.5,35.0,,,,,,0.060080109864957654,0.05804531929503319,-26.0,36.0,,,,,,0.09,0.08448920424200809,585.0,35.0,,,,,,0.0900724803540093,0.0857099259937438,403.0,35.0,,,,,,0.09,0.08479438467994202,656.5,35.0,,,,,,0.09,0.08632028686961166,390.0,35.0,,,,,
