timestamp,phase,test,max_abs_current_ma,max_temp_c,dominant_delta_channel,dominant_delta_name,dominant_delta,target_0_thumb_abd,before_pos_0_thumb_abd,after_pos_0_thumb_abd,delta_pos_0_thumb_abd,after_curr_ma_0_thumb_abd,after_temp_c_0_thumb_abd,target_1_thumb_flex,before_pos_1_thumb_flex,after_pos_1_thumb_flex,delta_pos_1_thumb_flex,after_curr_ma_1_thumb_flex,after_temp_c_1_thumb_flex,target_2_thumb_tendon,before_pos_2_thumb_tendon,after_pos_2_thumb_tendon,delta_pos_2_thumb_tendon,after_curr_ma_2_thumb_tendon,after_temp_c_2_thumb_tendon,target_3_index,before_pos_3_index,after_pos_3_index,delta_pos_3_index,after_curr_ma_3_index,after_temp_c_3_index,target_4_middle,before_pos_4_middle,after_pos_4_middle,delta_pos_4_middle,after_curr_ma_4_middle,after_temp_c_4_middle,target_5_ring,before_pos_5_ring,after_pos_5_ring,delta_pos_5_ring,after_curr_ma_5_ring,after_temp_c_5_ring,target_6_pinky,before_pos_6_pinky,after_pos_6_pinky,delta_pos_6_pinky,after_curr_ma_6_pinky,after_temp_c_6_pinky
2026-07-01T10:48:26.598,physical,physical_0_thumb_abd_+1,188.5,28.0,0,thumb_abd,0.1766231784542611,0.1940535591668574,0.011413748378728923,0.18803692683299,0.1766231784542611,188.5,27.0,0.0,0.0,0.0,0.0,182.0,27.0,0.00032043945983062307,0.0,0.0,0.0,6.5,26.0,0.0,0.0,0.0,0.0,110.5,26.0,0.000289921416037232,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,123.5,28.0,0.0,0.0,0.0,0.0,91.0,28.0
2026-07-01T10:48:27.934,physical,physical_0_thumb_abd_-1,208.0,28.0,0,thumb_abd,-0.010543984130617226,0.0,0.015808346684977492,0.005264362554360266,-0.010543984130617226,-208.0,27.0,0.0,0.0,0.0,0.0,201.5,27.0,0.00032043945983062307,0.0,0.0,0.0,6.5,26.0,0.0,0.0,0.0,0.0,97.5,26.0,0.000289921416037232,0.0,0.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,123.5,28.0,0.0,0.0,0.0,0.0,91.0,28.0
2026-07-01T10:48:29.265,physical,physical_1_thumb_flex_+1,715.0,28.0,1,thumb_flex,0.16313420309758142,0.014053559166857405,0.011413748378728923,0.012298771648737317,0.0008850232700083945,71.5,27.0,0.18,0.0,0.16313420309758142,0.16313420309758142,715.0,27.0,0.00032043945983062307,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,110.5,26.0,0.000289921416037232,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,149.5,28.0,0.0,0.0,0.0,0.0,104.0,28.0
2026-07-01T10:48:30.608,physical,physical_2_thumb_tendon_+1,409.5,28.0,2,thumb_tendon,0.1761654077973602,0.014053559166857405,0.012298771648737317,0.013168535896849012,0.0008697642481116947,26.0,27.0,0.0,0.0,0.0,0.0,97.5,27.0,0.18032043945983062,0.0,0.1761654077973602,0.1761654077973602,-409.5,26.0,0.0,0.0,0.0,0.0,117.0,26.0,0.000289921416037232,0.0,0.0,0.0,32.5,26.0,0.0,0.0,0.0,0.0,136.5,28.0,0.0,0.0,0.0,0.0,91.0,28.0
2026-07-01T10:48:31.945,physical,physical_2_thumb_tendon_-1,123.5,28.0,0,thumb_abd,0.0,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,32.5,27.0,0.0,0.0,0.0,0.0,97.5,27.0,0.0,0.0,0.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,110.5,26.0,0.000289921416037232,0.0,0.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,123.5,28.0,0.0,0.0,0.0,0.0,97.5,28.0
2026-07-01T10:48:33.288,physical,physical_3_index_+1,721.5,28.0,3,index,0.17418173495078965,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,45.5,27.0,0.0,0.0,0.0,0.0,104.0,27.0,0.00032043945983062307,0.0,0.0,0.0,45.5,27.0,0.18,0.0,0.17418173495078965,0.17418173495078965,721.5,26.0,0.000289921416037232,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,123.5,28.0,0.0,0.0,0.0,0.0,104.0,28.0
2026-07-01T10:48:34.625,physical,physical_4_middle_+1,559.0,28.0,4,middle,0.17540245670252536,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,32.5,27.0,0.0,0.0,0.0,0.0,97.5,27.0,0.00032043945983062307,0.0,0.0,0.0,32.5,27.0,0.0,0.0,0.0,0.0,71.5,27.0,0.18028992141603722,0.0,0.17540245670252536,0.17540245670252536,559.0,26.0,0.0,0.0,0.0,0.0,156.0,28.0,0.0,0.0,0.0,0.0,91.0,28.0
2026-07-01T10:48:35.969,physical,physical_4_middle_-1,110.5,28.0,0,thumb_abd,0.0,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,32.5,27.0,0.0,0.0,0.0,0.0,104.0,27.0,0.00032043945983062307,0.0,0.0,0.0,39.0,27.0,0.0,0.0,0.0,0.0,71.5,27.0,0.0,0.000289921416037232,0.000289921416037232,0.0,19.5,27.0,0.0,0.0,0.0,0.0,110.5,28.0,0.0,0.0,0.0,0.0,97.5,28.0
2026-07-01T10:48:37.311,physical,physical_5_ring_+1,812.5,28.0,5,ring,0.17448691538872357,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,39.0,27.0,0.0,0.0,0.0,0.0,104.0,27.0,0.00032043945983062307,0.0,0.0,0.0,32.5,27.0,0.0,0.0,0.0,0.0,91.0,27.0,0.000289921416037232,0.000289921416037232,0.000289921416037232,0.0,6.5,27.0,0.18,0.0,0.17448691538872357,0.17448691538872357,812.5,28.0,0.0,0.0,0.0,0.0,97.5,28.0
2026-07-01T10:48:38.650,physical,physical_6_pinky_+1,533.0,28.0,6,pinky,0.17570763714045928,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,39.0,27.0,0.0,0.0,0.0,0.0,110.5,27.0,0.00032043945983062307,0.0,0.0,0.0,45.5,26.0,0.0,0.0,0.0,0.0,78.0,27.0,0.000289921416037232,0.000289921416037232,0.000289921416037232,0.0,13.0,27.0,0.0,0.0,0.0,0.0,97.5,28.0,0.18,0.0,0.17570763714045928,0.17570763714045928,533.0,28.0
2026-07-01T10:48:39.987,sim_action,sim_0_index_-1_to_index,728.0,28.0,3,index,0.17418173495078965,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,39.0,27.0,0.0,0.0,0.0,0.0,97.5,27.0,0.00032043945983062307,0.0,0.0,0.0,39.0,27.0,0.18,0.0,0.17418173495078965,0.17418173495078965,728.0,27.0,0.000289921416037232,0.000289921416037232,0.000289921416037232,0.0,26.0,27.0,0.0,0.0,0.0,0.0,110.5,28.0,0.0,0.0,0.0,0.0,97.5,28.0
2026-07-01T10:48:41.332,sim_action,sim_1_middle_+1_to_middle,552.5,28.0,4,middle,0.17511253528648812,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,26.0,27.0,0.0,0.0,0.0,0.0,91.0,27.0,0.00032043945983062307,0.0,0.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,84.5,27.0,0.18028992141603722,0.000289921416037232,0.17540245670252536,0.17511253528648812,552.5,27.0,0.0,0.0,0.0,0.0,104.0,28.0,0.0,0.0,0.0,0.0,78.0,28.0
2026-07-01T10:48:42.675,sim_action,sim_1_middle_-1_to_middle,110.5,28.0,0,thumb_abd,0.0,0.014053559166857405,0.013168535896849012,0.013168535896849012,0.0,32.5,27.0,0.0,0.0,0.0,0.0,110.5,27.0,0.00032043945983062307,0.0,0.0,0.0,45.5,26.0,0.0,0.0,0.0,0.0,65.0,27.0,0.0,0.000289921416037232,0.000289921416037232,0.0,19.5,27.0,0.0,0.0,0.0,0.0,104.0,28.0,0.0,0.0,0.0,0.0,84.5,28.0
