step,elapsed_s,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
0,0.4625994998496026,0.09405355916685741,0.07029831387808042,-188.5,41.0,0.08,0.047333485923552306,578.5,43.0,0.08032043945983063,0.05233844510566873,702.0,46.0,0.08,0.04727244983596551,-227.5,47.0,0.08028992141603723,0.05249103532463569,-624.0,48.0,0.08,0.05154497596704051,-318.5,51.0,0.08,0.04879835202563516,-409.5,49.0
1,0.5171943339519203,0.1740535591668574,,,,0.16,,,,0.16032043945983063,,,,0.16,,,,0.16028992141603723,,,,0.16,,,,0.16,,,
2,0.5725667499937117,0.2540535591668574,,,,0.24,,,,0.24032043945983061,,,,0.24,,,,0.24028992141603722,,,,0.24,,,,0.24,,,
3,0.6264261668547988,0.3340535591668574,,,,0.32,,,,0.32032043945983063,,,,0.32,,,,0.25456013679504397,,,,0.32,,,,0.32,,,
4,0.6796725417952985,0.3930213969945907,,,,0.29754894971847534,,,,0.3271016123890877,,,,0.4,,,,0.26610364615917204,,,,0.4,,,,0.4,,,
5,0.732611124869436,0.42933486998081205,0.41826504921034563,-110.5,41.0,0.23610938847064974,0.24766918440527963,429.0,43.0,0.3849737292528152,0.3627374685282673,299.0,45.0,0.4388393461704254,0.4212863355458915,214.5,47.0,0.2343057304620743,0.2388799877927825,682.5,48.0,0.4024957656860352,0.3944457160296025,578.5,50.0,0.48000000000000004,0.4414129854276341,-416.0,49.0
6,0.7879917088430375,0.4072346979379654,,,,0.24709563791751862,,,,0.41813942074775695,,,,0.45829337537288667,,,,0.292937308549881,,,,0.4824957656860352,,,,0.56,,,
7,0.843319125007838,0.4090853327512741,,,,0.3270956379175186,,,,0.4087649822235107,,,,0.45868649184703825,,,,0.24615252614021305,,,,0.5624957656860352,,,,0.64,,,
8,0.8948489588219672,0.4045424342155457,,,,0.37558470606803895,,,,0.36002367347478864,,,,0.3816696465015411,,,,0.28732878565788267,,,,0.5042543947696686,,,,0.7196172595024108,,,
9,0.9493753749411553,0.42243164539337164,,,,0.3002891159057618,,,,0.29561392158269884,,,,0.3311491310596466,,,,0.2938999474048615,,,,0.46057382225990295,,,,0.6562389314174653,,,
10,1.0073287498671561,0.4531142443418503,0.44199282825970854,-208.0,41.0,0.23690053641796113,0.2510414282444495,455.0,43.0,0.37561392158269885,0.3412680247196155,260.0,46.0,0.3796698719263077,0.3587548638132296,409.5,47.0,0.27924467623233795,0.2792706187533379,338.0,49.0,0.3911530911922455,0.41213092240787363,1352.0,50.0,0.6350202798843384,0.638498512245365,637.0,49.0
11,1.0605413338635117,0.43453768849372865,,,,0.2569390749931335,,,,0.42726583540439605,,,,0.4376086354255676,,,,0.23228177726268773,,,,0.4711530911922455,,,,0.7150202798843384,,,
12,1.1121495838742703,0.40938159704208377,,,,0.3098690581321717,,,,0.42026921540498735,,,,0.44778873324394225,,,,0.2891802340745926,,,,0.5511530911922455,,,,0.7753145873546601,,,
13,1.1657176669687033,0.4406353455781936,,,,0.3118204295635224,,,,0.4282567667961121,,,,0.5277887332439423,,,,0.3620498925447464,,,,0.4711530911922455,,,,0.7989021182060241,,,
14,1.2194010838866234,0.4343036460876465,,,,0.3132536482810975,,,,0.44455413162708285,,,,0.550014328956604,,,,0.4117892861366272,,,,0.5511530911922455,,,,0.7189021182060241,,,
15,1.276669249869883,0.4473242795467377,0.44638742656595715,-32.5,41.0,0.32757066488265996,0.3034561684596017,955.5,43.0,0.44589391112327575,0.44025329976348515,-474.5,46.0,0.5526915848255157,0.5460593575951781,754.0,47.0,0.4917892861366272,0.45603112840466925,-377.0,48.0,0.4711530911922455,0.49755092698558023,1059.5,50.0,0.7755315899848938,0.7501487754634928,325.0,49.0
16,1.3279631668701768,0.43070104777812956,,,,0.33934031426906586,,,,0.4459939467906952,,,,0.5082100093364715,,,,0.4313352733850479,,,,0.5511530911922455,,,,0.755872094631195,,,
17,1.3834037089254707,0.40413950026035306,,,,0.37904006719589234,,,,0.3755696254968643,,,,0.4282100093364715,,,,0.3702778428792953,,,,0.5275530338287353,,,,0.717552375793457,,,
18,1.4356473749503493,0.41665363430976865,,,,0.2990400671958923,,,,0.2997122672200203,,,,0.3482100093364715,,,,0.30426694452762604,,,,0.46385867297649386,,,,0.6646728277206421,,,
19,1.4911526669748127,0.4532617318630219,,,,0.24797539353370665,,,,0.3797122672200203,,,,0.3792081415653229,,,,0.23384765088558201,,,,0.39793656170368197,,,,0.6597728908061982,,,
20,1.5493401668500155,0.4293338435888291,0.43759822995346,52.0,41.0,0.279750086069107,0.26372167544060426,494.0,43.0,0.4291460478305817,0.407034409094377,338.0,45.0,0.4438867747783661,0.41213092240787363,130.0,47.0,0.2438214898109436,0.23950560769054702,403.0,48.0,0.477936561703682,0.43471427481498437,182.0,50.0,0.721261990070343,0.6949263752193484,91.0,49.0
21,1.6004862498957664,0.4080330431461334,,,,0.31499321997165686,,,,0.41587586969137197,,,,0.42808797359466555,,,,0.28185227513313293,,,,0.557936561703682,,,,0.7767877101898193,,,
22,1.6559026669710875,0.44825932264328006,,,,0.3028404009342194,,,,0.4372573295235634,,,,0.5080879735946655,,,,0.36185227513313295,,,,0.477936561703682,,,,0.8016246438026429,,,
23,1.7113375419285148,0.4331137073040009,,,,0.31810345053672795,,,,0.442035403251648,,,,0.5313023686408996,,,,0.40662561655044555,,,,0.557936561703682,,,,0.7216246438026429,,,
24,1.7668985838536173,0.442295184135437,,,,0.335707888007164,,,,0.44033336997032163,,,,0.5125950396060943,,,,0.48662561655044556,,,,0.4804674059152603,,,,0.7804750025272369,,,
25,1.8213263750076294,0.4370877593755722,0.44023804074158845,-143.0,41.0,0.34335331916809086,0.31783016708628975,1124.5,43.0,0.45154885530471806,0.44260318913557634,-500.5,45.0,0.5121805608272553,0.5103685053788052,182.0,47.0,0.40662561655044555,0.4451667048142214,676.0,48.0,0.5604674059152603,0.5057907988097963,845.0,50.0,0.7004750025272369,0.7373311970702678,916.5,49.0
26,1.876704583875835,0.4020512807369232,,,,0.37948875069618226,,,,0.38149313390254974,,,,0.43218056082725526,,,,0.3486559152603149,,,,0.5413363933563232,,,,0.7072791934013367,,,
27,1.9320778748951852,0.41968331813812254,,,,0.29948875069618225,,,,0.3014931339025497,,,,0.35225277245044706,,,,0.29693020284175875,,,,0.4699312627315521,,,,0.6409402251243591,,,
