timestamp,elapsed_s,label,max_abs_current_ma,max_temp_c,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
2026-07-03T10:43:19.939,1.6377147500170395,initial_rest,234.0,29.0,0.014053559166857405,0.011413748378728923,78.0,29.0,0.0,0.0,234.0,29.0,0.00032043945983062307,0.0,0.0,28.0,0.0,0.0,71.5,27.0,0.000289921416037232,0.0,13.0,27.0,0.0,0.0,123.5,29.0,0.0,0.0,91.0,29.0
2026-07-03T10:43:20.030,1.72826320794411,pregrasp_0,429.0,29.0,0.033715762569619286,0.030746929121843288,78.0,29.0,0.006666666666666666,0.0,429.0,29.0,0.0069604028381780704,0.0063630121309224096,123.5,28.0,0.009999999999999998,0.006088349736781872,377.0,28.0,0.010265761298034129,0.009445334554055084,45.5,27.0,0.009999999999999998,0.0063935301747158006,266.5,29.0,0.009999999999999998,0.007919432364385443,195.0,29.0
2026-07-03T10:43:20.118,1.8163354579592124,pregrasp_1,578.5,29.0,0.05337796597238117,0.04919508659494927,71.5,28.0,0.013333333333333332,0.0,578.5,29.0,0.013600366216525519,0.01206988632028687,-65.0,28.0,0.019999999999999997,0.015243762874799727,474.5,28.0,0.020241601180031023,0.019516289005874723,-19.5,27.0,0.019999999999999997,0.015243762874799727,539.5,29.0,0.019999999999999997,0.017074845502403294,214.5,29.0
2026-07-03T10:43:20.209,1.9072393749374896,pregrasp_2,585.0,29.0,0.07304016937514306,0.07029831387808042,-45.5,29.0,0.02,0.005065995269703212,585.0,29.0,0.020240329594872968,0.018783855954833294,-91.0,28.0,0.03,0.025314717326619364,474.5,27.0,0.030217441062027922,0.02958724345769436,39.0,27.0,0.03,0.02561989776455329,526.5,29.0,0.03,0.027145799954222935,208.0,29.0
2026-07-03T10:43:20.298,1.9963362499838695,pregrasp_3,598.0,29.0,0.09270237277790494,0.08961623559929809,65.0,29.0,0.026666666666666665,0.011825741969939728,598.0,29.0,0.026880292973220414,0.025497825589379724,-117.0,28.0,0.039999999999999994,0.035080491340505074,539.5,28.0,0.040193280944024815,0.03904783703364614,6.5,27.0,0.039999999999999994,0.035385671778439,585.0,29.0,0.039999999999999994,0.03721675440604257,234.0,29.0
2026-07-03T10:43:20.388,2.0870393329532817,pregrasp_4,650.0,29.0,0.11236457618066682,0.10807965209430076,71.5,29.0,0.03333333333333333,0.01858548867017624,604.5,29.0,0.03352025635156786,0.0315403982604715,-169.0,28.0,0.05,0.04452582589456016,578.5,28.0,0.05016912082602172,0.049103532463569084,-19.5,27.0,0.05,0.04483100633249409,650.0,29.0,0.05,0.04666208896009766,247.0,29.0
2026-07-03T10:43:20.479,2.1775110829621553,pregrasp_5,650.0,29.0,0.1320267795834287,0.12916762035553522,52.0,28.0,0.04,0.025345235370412757,520.0,29.0,0.04016021972991531,0.037918669413290605,-58.5,28.0,0.06,0.054901960784313725,598.0,27.0,0.06014496070801861,0.05917448691538872,0.0,27.0,0.06,0.054901960784313725,650.0,29.0,0.06,0.05673304341191729,260.0,29.0
2026-07-03T10:43:20.569,2.2673979999963194,pregrasp_6,663.0,29.0,0.1516889829861906,0.14850080109864958,45.5,29.0,0.04666666666666667,0.032120241092545965,422.5,29.0,0.04680018310826276,0.04428168154421302,-182.0,28.0,0.07,0.06497291523613337,585.0,28.0,0.07012080059001552,0.06802471961547264,123.5,27.0,0.07,0.0652780956740673,663.0,29.0,0.07,0.066498817425803,305.5,29.0
2026-07-03T10:43:20.656,2.3547527079936117,pregrasp_7,676.0,29.0,0.17135118638895247,0.16958876935988404,-71.5,29.0,0.05333333333333333,0.03887998779278248,650.0,29.0,0.053440146486610204,0.05065995269703212,-221.0,28.0,0.07999999999999999,0.07412832837415122,650.0,27.0,0.0800966404720124,0.0771801327534905,227.5,27.0,0.07999999999999999,0.07473868925001907,676.0,29.0,0.07999999999999999,0.07626459143968872,370.5,29.0
2026-07-03T10:43:20.742,2.4408889999613166,pregrasp_8,708.5,29.0,0.19101338979171434,0.18803692683299,45.5,29.0,0.06,0.0439459830624857,643.5,29.0,0.060080109864957654,0.05770962081330587,-247.0,28.0,0.09,0.08418402380407417,637.0,28.0,0.0900724803540093,0.08632028686961166,409.5,27.0,0.09,0.08479438467994202,708.5,29.0,0.09,0.08632028686961166,357.5,29.0
2026-07-03T10:43:20.834,2.5323289160151035,pregrasp_9,669.5,29.0,0.21067559319447624,0.20737010757610438,58.5,28.0,0.06666666666666667,0.05070572976272221,637.0,29.0,0.0667200732433051,0.06408789196612497,-65.0,28.0,0.1,0.0942549782558938,630.5,28.0,0.10004832023600621,0.09578088044556345,214.5,27.0,0.1,0.09456015869382772,669.5,29.0,0.1,0.09608606088349737,455.0,29.0
2026-07-03T10:43:20.925,2.6231243329821154,pregrasp_10,754.0,29.0,0.2303377965972381,0.22758831158922713,52.0,29.0,0.07333333333333333,0.05578698405432213,754.0,29.0,0.07336003662165255,0.07046616311894408,-292.5,28.0,0.10999999999999999,0.10432593270771344,533.0,28.0,0.11002416011800309,0.10554665445944915,481.0,27.0,0.10999999999999999,0.10432593270771344,715.0,29.0,0.10999999999999999,0.10585183489738308,448.5,29.0
2026-07-03T10:43:21.013,2.7112392080016434,pregrasp_11,715.0,29.0,0.25,0.2477912565804532,32.5,29.0,0.08,0.06424048218509193,637.0,29.0,0.08,0.07684443427176318,-305.5,28.0,0.12,0.11439688715953307,715.0,28.0,0.12,0.11592278934920272,416.0,27.0,0.12,0.11439688715953307,702.0,29.0,0.12,0.11561760891126881,487.5,29.0
2026-07-03T10:43:21.170,2.8682463750010356,pregrasp_hold,669.5,29.0,0.25,0.2486762798504616,65.0,29.0,0.08,0.06424048218509193,650.0,29.0,0.08,0.07684443427176318,-312.0,28.0,0.12,0.11439688715953307,669.5,28.0,0.12,0.11592278934920272,448.5,27.0,0.12,0.11500724803540091,669.5,29.0,0.12,0.11592278934920272,494.0,29.0
2026-07-03T10:43:21.258,2.9566915829200298,step_0,598.0,29.0,0.08405355916685742,0.09753566796368354,416.0,29.0,0.055,0.04986648355840391,331.5,29.0,0.055320439459830624,0.05569542992294194,-117.0,28.0,0.055,0.05825894560158694,598.0,28.0,0.05528992141603723,0.060395208667124445,474.5,27.0,0.055,0.05825894560158694,585.0,29.0,0.06,0.06405737392233157,487.5,29.0
2026-07-03T10:43:21.349,3.0472311249468476,step_1,585.0,29.0,0.15405355916685742,0.15025558861676966,-32.5,29.0,0.11,0.092133974212253,585.0,29.0,0.11032043945983062,0.10368505378805219,45.5,28.0,0.11,0.1006637674525063,318.5,28.0,0.11028992141603723,0.10310521095597772,45.5,27.0,0.11,0.10157930876630808,279.5,29.0,0.12,0.1113450827801938,97.5,29.0
2026-07-03T10:43:21.439,3.1378072910010815,step_2,403.0,29.0,0.22405355916685743,0.22143892576485846,-208.0,29.0,0.165,0.1504539559014267,292.5,29.0,0.16532043945983063,0.15973144121461813,-19.5,28.0,0.165,0.15680170901045243,403.0,28.0,0.16528992141603724,0.158632791638056,195.0,27.0,0.165,0.15710688944838636,286.0,29.0,0.18,0.17204547188525215,97.5,29.0
2026-07-03T10:43:21.527,3.2252100409241393,step_3,624.0,29.0,0.29405355916685744,0.28909742885481043,-227.5,29.0,0.22,0.20117494468604563,624.0,29.0,0.22032043945983062,0.2127412832837415,-65.0,28.0,0.22,0.2098725871671626,448.5,28.0,0.22028992141603723,0.21139848935683223,260.0,27.0,0.22,0.21017776760509652,396.5,29.0,0.24,0.23001449607080182,182.0,29.0
2026-07-03T10:43:21.617,3.315127040958032,step_4,474.5,29.0,0.36405355916685744,0.3602807660028992,-26.0,29.0,0.275,0.2569619287403677,474.5,29.0,0.27532043945983065,0.2681162737468528,-364.0,28.0,0.275,0.2644846265354391,455.0,28.0,0.27528992141603725,0.2669260700389105,214.5,27.0,0.275,0.2657053482871748,455.0,29.0,0.3,0.28949416342412454,435.5,29.0
2026-07-03T10:43:21.704,3.402264790958725,step_5,546.0,29.0,0.43405355916685745,0.42969405661097126,-156.0,29.0,0.27885002791881563,0.26710917830167086,351.0,29.0,0.33032043945983064,0.3231403067063401,-84.5,28.0,0.33,0.3194018463416495,546.0,28.0,0.33028992141603725,0.3212176699473564,325.0,27.0,0.33,0.3197070267795834,448.5,29.0,0.36,0.35020981155107955,286.0,29.0
2026-07-03T10:43:21.791,3.489714041003026,step_6,760.5,29.0,0.5040535591668575,0.49999237048905165,-19.5,29.0,0.22385002791881564,0.22230869001297016,175.5,29.0,0.3406956702470779,0.336568245975433,-318.5,28.0,0.33572348095476623,0.32945754177157244,760.5,28.0,0.38528992141603724,0.3761348897535668,357.5,27.0,0.385,0.37582970931563286,435.5,29.0,0.42,0.40999465934233614,565.5,29.0
2026-07-03T10:43:21.879,3.578101582941599,step_7,715.0,29.0,0.5740535591668574,0.570290684367132,-91.0,29.0,0.24376949276775123,0.2358281834134432,234.0,29.0,0.2856956702470779,0.2869001297016861,-390.0,28.0,0.34766143029555674,0.34105439841306173,715.0,28.0,0.44028992141603723,0.43227283131151295,318.5,28.0,0.44,0.4316624704356451,461.5,29.0,0.47413599491119385,0.46613260090028236,474.5,29.0
