step,elapsed_s,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
0,0.5458577909994347,0.09405355916685741,0.09401083390554665,13.0,31.0,0.08,0.06507972838941024,604.5,31.0,0.08032043945983063,0.07751583123521782,-273.0,31.0,0.08,0.07565423056382085,500.5,31.0,0.08028992141603723,0.07687495231555658,351.0,31.0,0.08,0.07565423056382085,591.5,31.0,0.08,0.07656977187762265,364.0,32.0
1,0.59900933300014,0.1740535591668574,,,,0.16,,,,0.16032043945983063,,,,0.16,,,,0.16028992141603723,,,,0.16,,,,0.16,,,
2,0.65465525000036,0.2540535591668574,,,,0.24,,,,0.24032043945983061,,,,0.24,,,,0.24028992141603722,,,,0.24,,,,0.24,,,
3,0.7082421659979445,0.3340535591668574,,,,0.32,,,,0.32032043945983063,,,,0.32,,,,0.32028992141603724,,,,0.32,,,,0.32,,,
4,0.7635369159979746,0.41405355916685743,,,,0.4,,,,0.40032043945983065,,,,0.4,,,,0.40028992141603725,,,,0.2900000214576721,,,,0.4,,,
5,0.8230794999981299,0.43336230516433716,0.4288090333409628,-13.0,31.0,0.41999998688697815,0.3947508964675364,689.0,31.0,0.48032043945983066,0.44663157091630423,370.5,31.0,0.3381626307964325,0.3520408941786832,825.5,31.0,0.48028992141603727,0.44507515068284115,-188.5,31.0,0.36000001430511475,0.3303730830853742,0.0,31.0,0.48000000000000004,0.44476997024490733,-318.5,32.0
6,0.8739300409979478,0.36336231231689453,,,,0.4899999797344208,,,,0.5603204394598307,,,,0.26816263794898987,,,,0.44007259607315063,,,,0.4300000071525574,,,,0.502720832824707,,,
7,0.9250096659998235,0.3885100185871124,,,,0.5600000023841858,,,,0.6083536148071289,,,,0.19816264510154724,,,,0.370072603225708,,,,0.5,,,,0.4721844792366028,,,
8,0.9791041659991606,0.45851001143455505,,,,0.6300000548362732,,,,0.6124096512794495,,,,0.12816265225410461,,,,0.3000726103782654,,,,0.5700000524520874,,,,0.4077792763710022,,,
9,1.032312915998773,0.3885100185871124,,,,0.5934646725654602,,,,0.5424095988273621,,,,0.19816264510154724,,,,0.23007261753082275,,,,0.6400001049041748,,,,0.39197906851768494,,,
10,1.0836128749979252,0.3185100257396698,0.3488517586022736,260.0,31.0,0.5234646201133728,0.5384603646906233,507.0,31.0,0.47240957617759705,0.5006637674525063,-741.0,31.0,0.26816263794898987,0.23093003738460366,-338.0,31.0,0.16007262468338013,0.18730449378194858,1235.0,31.0,0.5700000524520874,0.5933470664530404,981.5,31.0,0.46197906136512756,0.42616922255283435,-78.0,32.0
11,1.1387154999974882,0.25748056173324585,,,,0.4534646272659302,,,,0.4024095833301544,,,,0.3381626307964325,,,,0.0900726318359375,,,,0.5,,,,0.4108020067214966,,,
12,1.1939018329976534,0.3274805545806885,,,,0.38346463441848755,,,,0.47240957617759705,,,,0.4081626236438751,,,,0.13048329949378967,,,,0.5700000524520874,,,,0.4808019995689392,,,
13,1.2490831249997427,0.3974805474281311,,,,0.4226301312446594,,,,0.5424095988273621,,,,0.47816261649131775,,,,0.2004832923412323,,,,0.6400001049041748,,,,0.45769229531288147,,,
14,1.3042788749989995,0.3274805545806885,,,,0.3526301383972168,,,,0.47240957617759705,,,,0.5481626391410828,,,,0.1792910397052765,,,,0.5700000524520874,,,,0.49867627024650574,,,
15,1.360684790997766,0.26758742332458496,0.2847028305485618,175.5,31.0,0.28263014554977417,0.2958571755550469,455.0,31.0,0.4024095833301544,0.4244907301441977,-851.5,32.0,0.6181626915931702,0.5893797207598993,-52.0,31.0,0.24929103255271912,0.22330052643625545,19.5,31.0,0.5,0.5204242008087282,1215.5,31.0,0.4540889859199524,0.46247043564507523,585.0,32.0
