timestamp,elapsed_s,label,max_abs_current_ma,max_temp_c,mapping_candidate,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,raw_sim_action_0_thumb_abd,sim_ctrl_0_thumb_abd,sim_norm_0_thumb_abd,real_target_preclip_0_thumb_abd,real_target_after_clip_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,raw_sim_action_1_thumb_flex,sim_ctrl_1_thumb_flex,sim_norm_1_thumb_flex,real_target_preclip_1_thumb_flex,real_target_after_clip_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,raw_sim_action_2_thumb_tendon,sim_ctrl_2_thumb_tendon,sim_norm_2_thumb_tendon,real_target_preclip_2_thumb_tendon,real_target_after_clip_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,raw_sim_action_3_index,sim_ctrl_3_index,sim_norm_3_index,real_target_preclip_3_index,real_target_after_clip_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,raw_sim_action_4_middle,sim_ctrl_4_middle,sim_norm_4_middle,real_target_preclip_4_middle,real_target_after_clip_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,raw_sim_action_5_ring,sim_ctrl_5_ring,sim_norm_5_ring,real_target_preclip_5_ring,real_target_after_clip_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky,raw_sim_action_6_pinky,sim_ctrl_6_pinky,sim_norm_6_pinky,real_target_preclip_6_pinky,real_target_after_clip_6_pinky
2026-07-03T15:32:32.981,1.5501156660029665,initial_rest,208.0,37.0,,0.014053559166857405,0.016693369954985885,-104.0,33.0,,,,,,0.0,0.0,208.0,36.0,,,,,,0.00032043945983062307,0.0,39.0,34.0,,,,,,0.0,0.0,26.0,36.0,,,,,,0.000289921416037232,0.000289921416037232,19.5,35.0,,,,,,0.0,0.0,136.5,37.0,,,,,,0.0,0.0,78.0,34.0,,,,,
2026-07-03T15:32:33.071,1.6399797500343993,pregrasp_0,468.0,36.0,,0.033715762569619286,0.03163195239185168,71.5,33.0,,,,,,0.006666666666666666,0.0,468.0,35.0,,,,,,0.0069604028381780704,0.0063630121309224096,6.5,34.0,,,,,,0.009999999999999998,0.0063935301747158006,318.5,36.0,,,,,,0.010265761298034129,0.009750514991989014,-149.5,35.0,,,,,,0.009999999999999998,0.007003891050583657,357.5,36.0,,,,,,0.009999999999999998,0.007919432364385443,169.0,34.0,,,,,
2026-07-03T15:32:33.162,1.7307362499414012,pregrasp_1,539.5,37.0,,0.05337796597238117,0.048325322346837576,104.0,33.0,,,,,,0.013333333333333332,0.0,539.5,36.0,,,,,,0.013600366216525519,0.013076981765468832,32.5,34.0,,,,,,0.019999999999999997,0.01585412375066758,195.0,36.0,,,,,,0.020241601180031023,0.019516289005874723,58.5,35.0,,,,,,0.019999999999999997,0.01585412375066758,487.5,37.0,,,,,,0.019999999999999997,0.017685206378271152,182.0,34.0,,,,,
2026-07-03T15:32:33.253,1.8211971250129864,pregrasp_2,552.5,36.0,,0.07304016937514306,0.06941329060807203,78.0,33.0,,,,,,0.02,0.005905241474021516,539.5,35.0,,,,,,0.020240329594872968,0.019455252918287938,0.0,34.0,,,,,,0.03,0.025314717326619364,455.0,36.0,,,,,,0.030217441062027922,0.02958724345769436,58.5,35.0,,,,,,0.03,0.02561989776455329,552.5,36.0,,,,,,0.03,0.027450980392156862,208.0,34.0,,,,,
2026-07-03T15:32:33.343,1.9113342500058934,pregrasp_3,578.5,37.0,,0.09270237277790494,0.08961623559929809,32.5,33.0,,,,,,0.026666666666666665,0.01266498817425803,533.0,35.0,,,,,,0.026880292973220414,0.026504921034561684,65.0,34.0,,,,,,0.039999999999999994,0.035080491340505074,409.5,36.0,,,,,,0.040193280944024815,0.039658197909514,-39.0,35.0,,,,,,0.039999999999999994,0.03569085221637293,578.5,37.0,,,,,,0.039999999999999994,0.03721675440604257,214.5,34.0,,,,,
2026-07-03T15:32:33.429,1.9977433750173077,pregrasp_4,630.5,36.0,,0.11236457618066682,0.10719462882429236,84.5,33.0,,,,,,0.03333333333333333,0.01943999389639124,520.0,35.0,,,,,,0.03352025635156786,0.03254749370565347,117.0,34.0,,,,,,0.05,0.04452582589456016,305.5,36.0,,,,,,0.05016912082602172,0.049103532463569084,45.5,35.0,,,,,,0.05,0.04483100633249409,630.5,36.0,,,,,,0.05,0.046967269398031586,156.0,34.0,,,,,
2026-07-03T15:32:33.520,2.08822620799765,pregrasp_5,598.0,36.0,,0.1320267795834287,0.1282825970855268,78.0,33.0,,,,,,0.04,0.026199740596627757,552.5,35.0,,,,,,0.04016021972991531,0.03859006637674525,-97.5,34.0,,,,,,0.06,0.05429159990844587,513.5,36.0,,,,,,0.06014496070801861,0.05917448691538872,65.0,35.0,,,,,,0.06,0.054901960784313725,598.0,36.0,,,,,,0.06,0.05703822384985122,149.5,34.0,,,,,
2026-07-03T15:32:33.610,2.1788022499531507,pregrasp_6,611.0,37.0,,0.1516889829861906,0.1476157778286412,97.5,33.0,,,,,,0.04666666666666667,0.03295948729686427,533.0,35.0,,,,,,0.04680018310826276,0.04528877698939498,-117.0,34.0,,,,,,0.07,0.06466773479819944,507.0,36.0,,,,,,0.07012080059001552,0.06894026092927444,91.0,35.0,,,,,,0.07,0.06497291523613337,611.0,37.0,,,,,,0.07,0.066498817425803,325.0,34.0,,,,,
2026-07-03T15:32:33.701,2.269355915952474,pregrasp_7,689.0,36.0,,0.17135118638895247,0.16958876935988404,-84.5,33.0,,,,,,0.05333333333333333,0.03887998779278248,591.5,35.0,,,,,,0.053440146486610204,0.05166704814221408,-208.0,34.0,,,,,,0.07999999999999999,0.07443350881208514,630.5,36.0,,,,,,0.0800966404720124,0.07779049362935836,234.0,35.0,,,,,,0.07999999999999999,0.07473868925001907,689.0,36.0,,,,,,0.07999999999999999,0.07687495231555658,279.5,34.0,,,,,
2026-07-03T15:32:33.790,2.3582581660011783,pregrasp_8,656.5,36.0,,0.19101338979171434,0.18803692683299,-26.0,33.0,,,,,,0.06,0.0439459830624857,630.5,35.0,,,,,,0.060080109864957654,0.05770962081330587,-201.5,34.0,,,,,,0.09,0.08418402380407417,656.5,36.0,,,,,,0.0900724803540093,0.08662546730754558,364.0,35.0,,,,,,0.09,0.08509956511787595,611.0,36.0,,,,,,0.09,0.08632028686961166,370.5,34.0,,,,,
