step,elapsed_s,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
0,0.461526749888435,0.09405355916685741,0.07029831387808042,-32.5,42.0,0.08,0.047333485923552306,572.0,43.0,0.08032043945983063,0.05233844510566873,682.5,43.0,0.08,0.04635690852216373,-260.0,45.0,0.08028992141603723,0.050934615091172655,-533.0,46.0,0.08,0.04727244983596551,-448.5,48.0,0.08,0.04666208896009766,-533.0,47.0
1,0.5170367078389972,0.1740535591668574,,,,0.16,,,,0.16032043945983063,,,,0.16,,,,0.000289921416037231,,,,0.16,,,,0.16,,,
2,0.5725860418751836,0.2540535591668574,,,,0.24,,,,0.24032043945983061,,,,0.18206907510757442,,,,0.042247423529624906,,,,0.24,,,,0.24,,,
3,0.6269397079013288,0.3340535591668574,,,,0.32,,,,0.32032043945983063,,,,0.26206907510757443,,,,0.02665169239044185,,,,0.32,,,,0.32,,,
4,0.6776268749963492,0.3930213969945907,,,,0.29754894971847534,,,,0.3271016123890877,,,,0.34206907510757445,,,,0.0489141747355461,,,,0.4,,,,0.4,,,
5,0.735056874807924,0.42933486998081205,0.41739528496223394,-195.0,42.0,0.23610938847064974,0.24766918440527963,442.0,43.0,0.3849737292528152,0.3627374685282673,312.0,43.0,0.38204731047153473,0.36301213092240786,227.5,45.0,0.0,0.013977264057373921,637.0,46.0,0.3258852958679199,0.34929427023727777,916.5,48.0,0.48000000000000004,0.4404974441138323,-552.5,47.0
6,0.7904490828514099,0.4072346979379654,,,,0.24709563791751862,,,,0.41813942074775695,,,,0.4195657953619957,,,,0.08,,,,0.40588529586791994,,,,0.56,,,
7,0.8446498748380691,0.4090853327512741,,,,0.3270956379175186,,,,0.4087649822235107,,,,0.4203239485621452,,,,0.010437014698982228,,,,0.48588529586791995,,,,0.64,,,
8,0.9001936668064445,0.4045424342155457,,,,0.37558470606803895,,,,0.36002367347478864,,,,0.3403239485621452,,,,0.08984837234020232,,,,0.5075971335172653,,,,0.72,,,
9,0.9554852079600096,0.42243164539337164,,,,0.3002891159057618,,,,0.29561392158269884,,,,0.2603239485621452,,,,0.10252132713794704,,,,0.42959611117839813,,,,0.7678381681442261,,,
10,1.0095783330034465,0.4531142443418503,0.43848325322346837,-117.0,42.0,0.23690053641796113,0.25949492637521937,604.5,43.0,0.37561392158269885,0.3291828793774319,-6.5,43.0,0.2679347530007362,0.26540016784924086,383.5,45.0,0.07425758987665171,0.08200198367284657,383.5,46.0,0.3495961111783981,0.39078355077439536,1410.5,48.0,0.7314633369445801,0.7403830014496071,721.5,47.0
11,1.0639141669962555,0.43453768849372865,,,,0.2569390749931335,,,,0.42726583540439605,,,,0.34793475300073623,,,,0.0,,,,0.42959611117839813,,,,0.8114633369445801,,,
12,1.1194402498658746,0.40938159704208377,,,,0.3098690581321717,,,,0.42026921540498735,,,,0.3993068426847458,,,,0.08,,,,0.5095961111783981,,,,0.89146333694458,,,
13,1.1699014999903738,0.4406353455781936,,,,0.3118204295635224,,,,0.4282567667961121,,,,0.4793068426847458,,,,0.16,,,,0.44146768003702164,,,,0.97146333694458,,,
14,1.2251791669987142,0.4343036460876465,,,,0.3132536482810975,,,,0.44455413162708285,,,,0.5593068426847458,,,,0.24,,,,0.5214676800370216,,,,0.89146333694458,,,
15,1.2811804579105228,0.4473242795467377,0.444632639047837,39.0,42.0,0.32757066488265996,0.3000839246204318,1319.5,43.0,0.44589391112327575,0.44025329976348515,-461.5,44.0,0.6016194850206376,0.5674067292286564,2957.5,45.0,0.32,0.2864118410009918,-507.0,46.0,0.4414676800370216,0.4636911573968109,1215.5,48.0,0.97146333694458,0.934706645304036,-149.5,47.0
16,1.332180832978338,0.43070104777812956,,,,0.33934031426906586,,,,0.4459939467906952,,,,0.5216194850206376,,,,0.3675751700997353,,,,0.5214676800370216,,,,0.93863787651062,,,
17,1.3875903747975826,0.40413950026035306,,,,0.37904006719589234,,,,0.3755696254968643,,,,0.4416194850206376,,,,0.28757517009973527,,,,0.5492018461227417,,,,0.8729469299316406,,,
18,1.4413883748929948,0.41665363430976865,,,,0.2990400671958923,,,,0.2997122672200203,,,,0.36161948502063757,,,,0.20757517009973525,,,,0.4692018461227417,,,,0.7929469299316406,,,
19,1.4963169579859823,0.4532617318630219,,,,0.24797539353370665,,,,0.3797122672200203,,,,0.28161948502063755,,,,0.12757517009973524,,,,0.38920184612274167,,,,0.7738963842391968,,,
20,1.549689417006448,0.4293338435888291,0.44023804074158845,-188.5,42.0,0.279750086069107,0.26034943160143437,585.0,43.0,0.4291460478305817,0.3993286030365453,312.0,44.0,0.36161948502063757,0.3062790875104906,1072.5,45.0,0.047575170099735234,0.09008926527809567,1059.5,46.0,0.4692018461227417,0.41335164415960934,1196.0,48.0,0.8538963842391968,0.8010833905546655,253.5,47.0
21,1.604731332976371,0.4080330431461334,,,,0.31499321997165686,,,,0.41587586969137197,,,,0.36131252050399776,,,,0.07928653061389923,,,,0.5492018461227417,,,,0.9338963842391967,,,
22,1.6605267918203026,0.44825932264328006,,,,0.3028404009342194,,,,0.4372573295235634,,,,0.4413125205039978,,,,0.15928653061389925,,,,0.4692018461227417,,,,1.0,,,
23,1.7158182919956744,0.4331137073040009,,,,0.31810345053672795,,,,0.442035403251648,,,,0.5213125205039978,,,,0.23928653061389926,,,,0.5492018461227417,,,,0.92,,,
24,1.77003416698426,0.442295184135437,,,,0.335707888007164,,,,0.44033336997032163,,,,0.5242904335260391,,,,0.3192865306138993,,,,0.4692018461227417,,,,0.9808142900466919,,,
25,1.8273580828681588,0.4370877593755722,0.44112306401159684,-162.5,42.0,0.34335331916809086,0.31783016708628975,1456.0,43.0,0.45154885530471806,0.4429388876173037,-526.5,44.0,0.5234910815954208,0.5176928358892195,682.5,45.0,0.30518013536930083,0.30287632562752725,305.5,46.0,0.5492018461227417,0.5042648966201266,156.0,48.0,0.9008142900466919,0.9246356908522165,1189.5,47.0
