timestamp,elapsed_s,pose_index,source_step,event,note,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
2026-07-13T10:28:24.246,1.6512831670042942,-1,-1,rest,,0.014053559166857405,0.014923323414969101,-26.0,40.0,0.0,0.0,169.0,41.0,0.00032043945983062307,0.0,32.5,39.0,0.0,0.0,45.5,40.0,0.000289921416037232,0.0,39.0,39.0,0.0,0.0,97.5,40.0,0.0,0.0,39.0,40.0
2026-07-13T10:28:24.352,1.7575106670046807,0,108,move_ramp,,0.029053559166857403,0.027237354085603113,39.0,40.0,0.015,0.0,585.0,41.0,0.015320439459830623,0.01441977569237812,-6.5,39.0,0.015,0.010666056305790799,448.5,40.0,0.015289921416037232,0.011276417181658656,507.0,39.0,0.015,0.011581597619592585,448.5,40.0,0.015,0.013412680247196154,110.5,40.0
2026-07-13T10:28:24.459,1.8647485420005978,0,108,move_ramp,,0.0440535591668574,0.04217593652246891,71.5,40.0,0.03,0.01351949340047303,695.5,41.0,0.030320439459830623,0.028854810406652935,-84.5,39.0,0.03,0.025314717326619364,474.5,40.0,0.03028992141603723,0.025925078202487222,559.0,39.0,0.03,0.025925078202487222,507.0,40.0,0.03,0.027450980392156862,221.0,40.0
2026-07-13T10:28:24.566,1.9710102500030189,0,108,move_ramp,,0.0590535591668574,0.05886930647745479,-117.0,40.0,0.045,0.029571984435797664,617.5,41.0,0.04532043945983062,0.04327458609903105,-188.5,39.0,0.045,0.039963378347447925,526.5,40.0,0.04528992141603723,0.04025329976348516,559.0,39.0,0.045,0.04055848020141909,598.0,40.0,0.045,0.042084382391088734,292.5,40.0
2026-07-13T10:28:24.672,2.077061833006155,0,108,move_ramp,,0.07405355916685741,0.0729228656443122,52.0,40.0,0.06,0.042252231631952394,715.0,41.0,0.06032043945983062,0.05737392233157854,-162.5,39.0,0.06,0.0545967803463798,552.5,40.0,0.06028992141603723,0.05520714122224765,578.5,39.0,0.06,0.054901960784313725,656.5,40.0,0.06,0.05703822384985122,273.0,40.0
2026-07-13T10:28:24.775,2.1804712920056772,0,108,move_ramp,,0.08905355916685741,0.08786144808117799,71.5,40.0,0.075,0.058319981689173725,663.0,41.0,0.07532043945983062,0.07180895704585336,-305.5,39.0,0.075,0.06924544136720837,611.0,40.0,0.07528992141603723,0.06985580224307622,624.0,39.0,0.075,0.07016098268101015,546.0,40.0,0.075,0.07168688487067978,344.5,40.0
2026-07-13T10:28:24.881,2.286923875006323,0,108,move_ramp,,0.1040535591668574,0.10455481803616389,0.0,40.0,0.09,0.07353322652018006,539.5,41.0,0.09032043945983062,0.08690012970168612,-221.0,39.0,0.09,0.08418402380407417,643.5,40.0,0.09028992141603723,0.08448920424200809,643.5,39.0,0.09,0.08479438467994202,702.0,40.0,0.09,0.08662546730754558,338.0,40.0
2026-07-13T10:28:24.984,2.38973495800019,0,108,move_ramp,,0.1190535591668574,0.11862363622491796,-13.0,40.0,0.105,0.08790722514686809,832.0,41.0,0.10532043945983062,0.10133516441596094,-383.5,39.0,0.105,0.09944304570077057,513.5,40.0,0.10528992141603723,0.09913786526283665,754.0,39.0,0.105,0.09944304570077057,676.0,40.0,0.105,0.10157930876630808,188.5,40.0
2026-07-13T10:28:25.092,2.49699820800015,0,108,move_ramp,,0.1340535591668574,0.13356221866178378,13.0,40.0,0.12,0.10142671854734112,780.0,41.0,0.12032043945983062,0.1164415960936904,-377.0,39.0,0.12,0.11409170672159916,702.0,40.0,0.12028992141603723,0.114702067597467,715.0,40.0,0.12,0.114702067597467,708.5,40.0,0.12,0.11592278934920272,442.0,40.0
2026-07-13T10:28:25.198,2.603299958005664,0,108,move_ramp,,0.14905355916685742,0.14937056534676127,13.0,40.0,0.135,0.11749446860456245,825.5,41.0,0.13532043945983063,0.13153276874952316,-351.0,39.0,0.135,0.128725108720531,689.0,40.0,0.13528992141603724,0.1296406500343328,526.5,40.0,0.135,0.12933546959639888,760.5,40.0,0.135,0.13116655222400245,429.0,40.0
2026-07-13T10:28:25.304,2.709498500000336,0,108,move_ramp,,0.16405355916685743,0.16255436026550696,78.0,40.0,0.15000000000000002,0.13101396200503548,832.0,41.0,0.15032043945983065,0.14596780346379798,-364.0,39.0,0.15000000000000002,0.14398413061722742,650.0,40.0,0.15028992141603725,0.14428931105516135,682.5,39.0,0.15000000000000002,0.14428931105516135,760.5,40.0,0.15000000000000002,0.1455100328068971,546.0,40.0
2026-07-13T10:28:25.411,2.8167212920016027,0,108,move_ramp,,0.17905355916685745,0.17749294270237279,78.0,40.0,0.16500000000000004,0.14622720683604182,812.5,41.0,0.16532043945983066,0.16139467460135806,-364.0,39.0,0.16500000000000004,0.158632791638056,728.0,40.0,0.16528992141603727,0.15924315251392385,526.5,39.0,0.16500000000000004,0.15924315251392385,747.5,40.0,0.16500000000000004,0.16014343480582893,539.5,40.0
2026-07-13T10:28:25.518,2.923115500001586,0,108,move_ramp,,0.19405355916685746,0.193316548409247,45.5,40.0,0.18000000000000005,0.16060120546272985,825.5,41.0,0.18032043945983067,0.17650110627908752,-370.5,39.0,0.18000000000000005,0.1735713740749218,780.0,40.0,0.18028992141603728,0.17448691538872357,682.5,39.0,0.18000000000000005,0.17418173495078965,806.0,40.0,0.18000000000000005,0.17570763714045928,494.0,40.0
2026-07-13T10:28:25.624,3.0294507920043543,0,108,move_ramp,,0.20905355916685747,0.20737010757610438,65.0,40.0,0.19500000000000006,0.17497520408941786,877.5,41.0,0.19532043945983069,0.19127183947508963,-390.0,39.0,0.19500000000000006,0.1885252155336843,741.0,40.0,0.1952899214160373,0.18913557640955214,760.5,39.0,0.19500000000000006,0.18913557640955214,799.5,40.0,0.19500000000000006,0.19005111772335392,591.5,40.0
2026-07-13T10:28:25.725,3.1308270000008633,0,108,move_ramp,,0.22405355916685749,0.22230869001297016,78.0,40.0,0.21000000000000008,0.18933394369420922,968.5,41.0,0.2103204394598307,0.20602731364919508,-474.5,39.0,0.21000000000000008,0.20315861753261616,786.5,40.0,0.2102899214160373,0.20437933928435187,546.0,39.0,0.21000000000000008,0.20407415884641794,747.5,40.0,0.21000000000000008,0.20498970016021972,559.0,40.0
2026-07-13T10:28:25.831,3.2369125000041095,0,108,move_ramp,,0.2390535591668575,0.23813229571984432,58.5,40.0,0.2250000000000001,0.20456244754711222,942.5,41.0,0.2253204394598307,0.22113374532692454,-390.0,39.0,0.2250000000000001,0.21841763942931258,754.0,40.0,0.22528992141603732,0.2187228198672465,747.5,39.0,0.2250000000000001,0.21902800030518044,812.5,40.0,0.2250000000000001,0.21994354161898222,585.0,40.0
2026-07-13T10:28:25.938,3.343085583001084,0,108,move_ramp,,0.2540535591668575,0.25307087815671014,13.0,40.0,0.23232450366020202,0.21132219424734874,897.0,41.0,0.24032043945983073,0.23590447852292667,-416.0,39.0,0.2400000000000001,0.233676661326009,676.0,40.0,0.24028992141603733,0.2339818417639429,728.0,40.0,0.2400000000000001,0.23428702220187686,786.5,40.0,0.2400000000000001,0.2348973830777447,526.5,40.0
2026-07-13T10:28:26.044,3.449099000004935,0,108,move_ramp,,0.2690535591668575,0.26887922484168764,19.5,40.0,0.23232450366020202,0.21301594567788204,832.0,41.0,0.25532043945983074,0.25099565117875944,-390.0,39.0,0.2550000000000001,0.24800488288700698,806.0,40.0,0.25528992141603735,0.24892042420080876,819.0,40.0,0.2550000000000001,0.24892042420080876,799.5,40.0,0.2550000000000001,0.25014114595254444,442.0,40.0
