timestamp,elapsed_s,step,max_abs_current_ma,max_temp_c,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky,sim_action_0_index,sim_action_1_middle,sim_action_2_ring,sim_action_3_pinky,sim_action_4_thumb_abd,sim_action_5_thumb_flex,sim_action_6_thumb_tendon,obs_z_0,obs_z_1,obs_z_2,obs_z_3,obs_z_4,obs_z_5,obs_z_6,obs_z_7,obs_z_8,obs_z_9,obs_z_10,obs_z_11,obs_z_12,obs_z_13,obs_z_14,obs_z_15,obs_z_16,obs_z_17,obs_z_18,obs_z_19,obs_z_20
2026-06-30T14:57:56.516,1.6462745839962736,0,253.5,48.0,0.0,0.011413748378728923,84.5,41.0,0.06,0.0,253.5,42.0,0.04,0.0,6.5,43.0,0.06,0.0,84.5,41.0,0.06028992141603723,0.0,26.0,46.0,0.05,0.0,130.0,48.0,0.06,0.0,78.0,48.0,0.31841978430747986,0.16092127561569214,0.4180901348590851,-0.2011115998029709,-0.3940616250038147,-0.3572566509246826,-0.060590557754039764,0.0,-0.0002899214159697294,0.0,-0.0,-0.002639810787513852,-0.0,-0.00032043945975601673,0.021121857687830925,0.006499908398836851,0.032488562166690826,0.019497528672218323,0.021121857687830925,0.06329029053449631,0.001624998520128429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30T14:57:56.520,1.6497400840744376,1,240.5,48.0,0.0,0.011413748378728923,91.0,41.0,0.12,0.0,240.5,42.0,0.04,0.0,6.5,43.0,0.12,0.0,78.0,41.0,0.12028992141603723,0.0,13.0,46.0,0.1,0.0,117.0,47.0,0.12,0.0,78.0,48.0,0.29131990671157837,0.10947808623313904,0.4279518723487854,-0.3236747980117798,-0.44898977875709534,-0.3418368697166443,-0.06439146399497986,0.0,-0.0002899214159697294,0.0,-0.0,-0.002639810787513852,-0.0,-0.00032043945975601673,0.019497528672218323,0.0032499886583536863,0.029241660609841347,0.019497528672218323,0.022746076807379723,0.06005265191197395,0.001624998520128429,0.31841978430747986,0.16092127561569214,0.4180901348590851,-0.2011115998029709,-0.3940616250038147,-0.3572566509246826,-0.060590557754039764
2026-06-30T14:57:56.601,1.731506083975546,2,728.0,48.0,0.08,0.004379339284351873,-149.5,41.0,0.06,0.0938277256427863,292.5,42.0,0.1,0.03556878004119936,-6.5,42.0,0.08,0.0878461890592813,-507.0,41.0,0.18028992141603722,0.09456015869382772,-663.0,46.0,0.08,0.07809567406729229,-331.5,48.0,0.18,0.09120317387655451,-728.0,48.0,-0.6055848598480225,0.3466944992542267,-0.4061535596847534,-0.7719975709915161,0.42393773794174194,0.9255921244621277,0.8410400748252869,0.08784618973731995,0.0942702367901802,0.07809567451477051,-0.09120317548513412,-0.009674220345914364,-0.09382772445678711,0.03524833917617798,-0.12607556581497192,-0.16424861550331116,-0.08268578350543976,-0.18001675605773926,-0.03735760599374771,0.07299493998289108,-0.001624998520128429,0.29131990671157837,0.10947808623313904,0.4279518723487854,-0.3236747980117798,-0.44898977875709534,-0.3418368697166443,-0.06439146399497986
2026-06-30T14:57:56.687,1.8168564590159804,3,442.0,48.0,0.16,0.0720531013962005,-104.0,41.0,0.04,0.058319981689173725,156.0,42.0,0.16,0.09361409933623255,45.5,43.0,0.08,0.08052185854886702,442.0,41.0,0.24028992141603722,0.17265583276112,84.5,46.0,0.08,0.07901121538109407,169.0,48.0,0.24,0.17112993057145037,143.0,48.0,-0.35928693413734436,0.2562059462070465,-0.1534537971019745,-0.5611772537231445,0.5121338367462158,0.48618632555007935,0.5607443451881409,0.08052185922861099,0.1723659187555313,0.0790112167596817,-0.17112992703914642,0.057999543845653534,-0.05831998214125633,0.09329365938901901,0.1100524440407753,0.021121857687830925,0.04222487658262253,0.03573477640748024,-0.02599414251744747,0.038980238139629364,0.01137450896203518,-0.6055848598480225,0.3466944992542267,-0.4061535596847534,-0.7719975709915161,0.42393773794174194,0.9255921244621277,0.8410400748252869
2026-06-30T14:57:56.771,1.9011167500866577,4,169.0,48.0,0.24,0.15201037613488974,-162.5,41.0,0.04,0.039719233997100784,117.0,42.0,0.22,0.15100328068970778,104.0,43.0,0.08,0.07870603494316014,169.0,41.0,0.3002899214160372,0.2284885938811322,39.0,46.0,0.08,0.07901121538109407,123.5,48.0,0.3,0.2281834134431983,45.5,48.0,-0.5764954686164856,0.35360968112945557,-0.3530154526233673,-0.7774583101272583,0.5040555596351624,0.8596638441085815,0.7983477711677551,0.0787060335278511,0.22819867730140686,0.0790112167596817,-0.22818341851234436,0.13795681297779083,-0.03971923515200615,0.15068283677101135,0.04222487658262253,0.009749691002070904,0.030865192413330078,0.01137450896203518,-0.0406026653945446,0.029241660609841347,0.02599414251744747,-0.35928693413734436,0.2562059462070465,-0.1534537971019745,-0.5611772537231445,0.5121338367462158,0.48618632555007935,0.5607443451881409
2026-06-30T14:57:56.859,1.9887895000865683,5,253.5,48.0,0.32,0.23460746166170746,-117.0,41.0,0.04,0.03802548256656748,84.5,42.0,0.28,0.21341268024719615,13.0,43.0,0.08,0.07870603494316014,143.0,41.0,0.3602899214160372,0.29163042648966203,240.5,46.0,0.08,0.07901121538109407,169.0,48.0,0.36,0.2904097047379263,253.5,48.0,-0.41379883885383606,0.2637765109539032,-0.209665447473526,-0.6134575009346008,0.46653905510902405,0.5716222524642944,0.6012313365936279,0.0787060335278511,0.29134050011634827,0.0790112167596817,-0.29040971398353577,0.2205539047718048,-0.03802548348903656,0.21309223771095276,0.03573477640748024,0.06005265191197395,0.04222487658262253,0.06329029053449631,-0.029241660609841347,0.021121857687830925,0.0032499886583536863,-0.5764954686164856,0.35360968112945557,-0.3530154526233673,-0.7774583101272583,0.5040555596351624,0.8596638441085815,0.7983477711677551
2026-06-30T14:57:56.947,2.0768036670051515,6,247.0,48.0,0.36308566318220775,0.3145799954222934,-110.5,41.0,0.04,0.03802548256656748,104.0,42.0,0.34,0.2728160524910353,-195.0,43.0,0.08,0.07870603494316014,149.5,41.0,0.3923665734660555,0.35112535286488133,110.5,46.0,0.08,0.07901121538109407,156.0,48.0,0.42,0.35143053330281526,247.0,48.0,-0.41552305221557617,0.22291189432144165,-0.24561911821365356,-0.6140091419219971,0.34903210401535034,0.6124480962753296,0.5650628805160522,0.0787060335278511,0.3508354425430298,0.0790112167596817,-0.3514305353164673,0.3005264401435852,-0.03802548348903656,0.2724956274032593,0.03735760599374771,0.02761797420680523,0.038980238139629364,0.06167163327336311,-0.02761797420680523,0.02599414251744747,-0.048711419105529785,-0.41379883885383606,0.2637765109539032,-0.209665447473526,-0.6134575009346008,0.46653905510902405,0.5716222524642944,0.6012313365936279
2026-06-30T14:57:57.035,2.1648827920434996,7,689.0,48.0,0.28308566318220774,0.35851071946288243,84.5,41.0,0.04,0.03802548256656748,97.5,42.0,0.28,0.3328755626764324,-195.0,42.0,0.14,0.07870603494316014,143.0,41.0,0.3323665734660555,0.38529030289158467,689.0,46.0,0.13,0.07901121538109407,143.0,48.0,0.48,0.4109102006561379,175.5,48.0,0.1365574449300766,0.08375556766986847,0.2615745961666107,-0.7846205234527588,-0.8006965517997742,0.15617325901985168,-0.18333181738853455,0.0787060335278511,0.3850003778934479,0.0790112167596817,-0.4109101891517639,0.34445714950561523,-0.03802548348903656,0.3325551152229309,0.03573477640748024,0.17056642472743988,0.03573477640748024,0.043846867978572845,0.021121857687830925,0.02437017299234867,-0.048711419105529785,-0.41552305221557617,0.22291189432144165,-0.24561911821365356,-0.6140091419219971,0.34903210401535034,0.6124480962753296,0.5650628805160522
2026-06-30T14:57:57.119,2.248763250070624,8,552.5,48.0,0.20308566318220772,0.2917372396429389,195.0,41.0,0.1,0.03802548256656748,104.0,42.0,0.22000000000000003,0.2838788433661402,-552.5,42.0,0.2,0.1275043869687953,461.5,41.0,0.27236657346605553,0.335561150530251,552.5,46.0,0.18,0.12018005645838102,279.5,48.0,0.54,0.4679636835278858,364.0,48.0,0.23713643848896027,-0.03841386362910271,0.42714282870292664,-0.8830910921096802,-0.9607064127922058,-0.046433400362730026,0.11481241136789322,0.1275043934583664,0.3352712392807007,0.12018005549907684,-0.46796369552612305,0.27768367528915405,-0.03802548348903656,0.2835583984851837,0.11486577987670898,0.13725323975086212,0.0697614997625351,0.09074963629245758,0.048711419105529785,0.02599414251744747,-0.13725323975086212,0.1365574449300766,0.08375556766986847,0.2615745961666107,-0.7846205234527588,-0.8006965517997742,0.15617325901985168,-0.18333181738853455
2026-06-30T14:57:57.207,2.336722334031947,9,669.5,48.0,0.28308566318220774,0.21000991836423286,-6.5,41.0,0.12573220893740655,0.08368047608148317,513.5,42.0,0.16000000000000003,0.22146944380865186,-299.0,43.0,0.14,0.18944075684748607,487.5,41.0,0.2592287006509234,0.27364003967345696,669.5,46.0,0.13,0.17174029144731823,429.0,47.0,0.48000000000000004,0.5304951552605478,325.0,48.0,-0.08714037388563156,0.1278134137392044,-0.0396919846534729,-0.40334463119506836,0.43055009841918945,-0.06594785302877426,0.05520784482359886,0.1894407570362091,0.2733501195907593,0.17174029350280762,-0.5304951667785645,0.19595636427402496,-0.08368047326803207,0.2211489975452423,0.12127514183521271,0.1658293455839157,0.10684067010879517,0.08107167482376099,-0.001624998520128429,0.127674400806427,-0.07461109012365341,0.23713643848896027,-0.03841386362910271,0.42714282870292664,-0.8830910921096802,-0.9607064127922058,-0.046433400362730026,0.11481241136789322
