timestamp,elapsed_s,channel,channel_name,phase,target_value,max_abs_current_ma,max_abs_current_channel,max_abs_current_channel_name,max_temp_c,cmd_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,cmd_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,cmd_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,cmd_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,cmd_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,cmd_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,cmd_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
2026-06-16T11:36:50.585,1.9608417499694042,4,middle,hold,0.0,871.0,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-123.5,39.0,0.0,0.0,871.0,42.0,0.00032043945983062307,0.00032043945983062307,52.0,41.0,0.0,0.0,403.0,42.0,0.0,0.0,117.0,43.0,0.0,0.0,45.5,39.0,0.0,0.0,325.0,42.0
2026-06-16T11:36:51.104,2.4805369999958202,4,middle,hold,0.05,864.5,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-130.0,39.0,0.0,0.0,864.5,42.0,0.00032043945983062307,0.00032043945983062307,65.0,41.0,0.0,0.0,370.5,42.0,0.05,0.04635690852216373,344.5,43.0,0.0,0.0,45.5,39.0,0.0,0.0,338.0,42.0
2026-06-16T11:36:51.625,3.000776707951445,4,middle,hold,0.1,864.5,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-123.5,39.0,0.0,0.0,864.5,42.0,0.00032043945983062307,0.00032043945983062307,78.0,41.0,0.0,0.0,390.0,42.0,0.1,0.0954757000076295,487.5,43.0,0.0,0.0,39.0,39.0,0.0,0.0,331.5,42.0
2026-06-16T11:36:52.145,3.520871124987025,4,middle,hold,0.15,773.5,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-130.0,39.0,0.0,0.0,773.5,42.0,0.00032043945983062307,0.00032043945983062307,52.0,41.0,0.0,0.0,364.0,43.0,0.15,0.1445944914930953,643.5,43.0,0.0,0.0,45.5,39.0,0.0,0.0,338.0,42.0
2026-06-16T11:36:52.658,4.034028207999654,4,middle,hold,0.2,780.0,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-117.0,39.0,0.0,0.0,780.0,42.0,0.00032043945983062307,0.00032043945983062307,78.0,41.0,0.0,0.0,390.0,43.0,0.2,0.194018463416495,708.5,43.0,0.0,0.0,45.5,39.0,0.0,0.0,318.5,42.0
2026-06-16T11:36:53.178,4.553971082961652,4,middle,hold,0.25,858.0,4,middle,43.0,0.014053559166857405,0.016693369954985885,-143.0,39.0,0.0,0.0,786.5,42.0,0.00032043945983062307,0.00032043945983062307,65.0,41.0,0.0,0.0,377.0,43.0,0.25,0.24312199588006408,858.0,43.0,0.0,0.0,58.5,39.0,0.0,0.0,344.5,42.0
2026-06-16T11:36:53.697,5.072801707952749,4,middle,hold,0.3,910.0,4,middle,43.0,0.014053559166857405,0.016693369954985885,-136.5,39.0,0.0,0.0,793.0,43.0,0.00032043945983062307,0.00032043945983062307,65.0,41.0,0.0,0.0,403.0,43.0,0.3,0.29285114824139774,910.0,43.0,0.0,0.0,39.0,39.0,0.0,0.0,344.5,42.0
2026-06-16T11:36:54.215,5.590751166979317,4,middle,hold,0.35,890.5,4,middle,43.0,0.014053559166857405,0.016693369954985885,-149.5,39.0,0.0,0.0,780.0,43.0,0.00032043945983062307,0.00032043945983062307,78.0,41.0,0.0,0.0,383.5,43.0,0.35,0.3428854810406653,890.5,43.0,0.0,0.0,52.0,39.0,0.0,0.0,331.5,42.0
2026-06-16T11:36:54.737,6.113400542002637,4,middle,hold,0.4,877.5,4,middle,43.0,0.014053559166857405,0.016693369954985885,-136.5,39.0,0.0,0.0,786.5,43.0,0.00032043945983062307,0.00032043945983062307,58.5,41.0,0.0,0.0,390.0,43.0,0.4,0.3932249942778668,877.5,43.0,0.0,0.0,52.0,39.0,0.0,0.0,318.5,43.0
2026-06-16T11:36:55.259,6.634582082973793,4,middle,hold,0.45,780.0,1,thumb_flex,43.0,0.014053559166857405,0.016693369954985885,-104.0,39.0,0.0,0.0,780.0,43.0,0.00032043945983062307,0.00032043945983062307,71.5,41.0,0.0,0.0,416.0,43.0,0.45,0.4441596093690394,695.5,43.0,0.0,0.0,52.0,39.0,0.0,0.0,312.0,43.0
2026-06-16T11:36:55.780,7.156051750003826,4,middle,hold,0.5,910.0,4,middle,44.0,0.014053559166857405,0.016693369954985885,-123.5,39.0,0.0,0.0,793.0,43.0,0.00032043945983062307,0.00032043945983062307,52.0,41.0,0.0,0.0,396.5,43.0,0.5,0.4929732204165713,910.0,44.0,0.0,0.0,32.5,39.0,0.0,0.0,351.0,43.0
2026-06-16T11:36:56.295,7.670661749958526,4,middle,hold,0.55,936.0,4,middle,44.0,0.014053559166857405,0.016693369954985885,-136.5,39.0,0.0,0.0,786.5,43.0,0.00032043945983062307,0.00032043945983062307,84.5,41.0,0.0,0.0,357.5,43.0,0.55,0.542397192339971,936.0,44.0,0.0,0.0,52.0,39.0,0.0,0.0,325.0,43.0
