step,time_s,reward,done,sim_action_0_right_index_A_tendon,sim_delta_0_right_index_A_tendon,sim_action_1_right_middle_A_tendon,sim_delta_1_right_middle_A_tendon,sim_action_2_right_ring_A_tendon,sim_delta_2_right_ring_A_tendon,sim_action_3_right_pinky_A_tendon,sim_delta_3_right_pinky_A_tendon,sim_action_4_right_thumb_A_cmc_abd,sim_delta_4_right_thumb_A_cmc_abd,sim_action_5_right_th1_A_tendon,sim_delta_5_right_th1_A_tendon,sim_action_6_right_th2_A_tendon,sim_delta_6_right_th2_A_tendon,physical_target_0_thumb_abd,physical_target_1_thumb_flex,physical_target_2_thumb_tendon,physical_target_3_index,physical_target_4_middle,physical_target_5_ring,physical_target_6_pinky
0,0.0,0.0,False,0.26645931601524353,0.0,0.46146756410598755,0.0,0.04282551631331444,0.0,-0.2642328143119812,0.0,-0.0010606046998873353,0.0,-0.2383074164390564,0.0,-0.06243867054581642,0.0,0.014053559166857405,0.0,0.00032043945983062307,0.06661482900381088,0.11565681244253412,0.01070637907832861,0.0
1,0.05,-0.04167364165186882,False,0.6229071617126465,0.35644784569740295,0.7598806619644165,0.29841309785842896,-0.22383910417556763,-0.26666462421417236,-0.67423415184021,-0.41000133752822876,-0.3627844452857971,-0.3617238402366638,-0.2807655930519104,-0.042458176612854004,0.13431595265865326,0.19675461947917938,0.014053559166857405,0.0,0.03389942762449394,0.15572679042816162,0.19026008690714136,0.0,0.0
2,0.1,-0.06271728873252869,False,0.4188533425331116,-0.2040538191795349,0.7556972503662109,-0.004183411598205566,-0.4303581118583679,-0.2065190076828003,-0.7953150868415833,-0.12108093500137329,-0.34896937012672424,0.013815075159072876,-0.03853616490960121,0.2422294318675995,-0.01471402682363987,-0.14902998507022858,0.014053559166857405,0.0,0.00032043945983062307,0.1047133356332779,0.18921423400758997,0.0,0.0
3,0.15000000000000002,-0.0437328964471817,False,0.35748809576034546,-0.06136524677276611,0.7023988366127014,-0.05329841375350952,-0.11576665192842484,0.3145914673805237,-0.8635995388031006,-0.06828445196151733,-0.38638588786125183,-0.03741651773452759,-0.19793595373630524,-0.15939979255199432,-0.023837609216570854,-0.009123582392930984,0.014053559166857405,0.0,0.00032043945983062307,0.08937202394008636,0.17588963056921258,0.0,0.0
4,0.2,-0.007480144035071135,False,0.3027130663394928,-0.05477502942085266,0.5946999192237854,-0.10769891738891602,-0.10313847661018372,0.01262817531824112,-0.9480440020561218,-0.08444446325302124,-0.5328609943389893,-0.14647510647773743,-0.39452746510505676,-0.19659151136875153,0.1679176539182663,0.1917552649974823,0.014053559166857405,0.0,0.0422998529393972,0.0756782665848732,0.14896490122198358,0.0,0.0
5,0.25,-0.01200987957417965,False,0.17098596692085266,-0.13172709941864014,0.3742002248764038,-0.2204996943473816,-0.43142837285995483,-0.3282898962497711,-0.945837676525116,0.0022063255310058594,-0.8556128740310669,-0.32275187969207764,-0.300225168466568,0.09430229663848877,0.31076452136039734,0.14284686744213104,0.014053559166857405,0.0,0.07801156979992996,0.042746491730213165,0.09383997763513818,0.0,0.0
6,0.30000000000000004,-0.0061529832892119884,False,0.17625436186790466,0.005268394947052002,0.37352052330970764,-0.000679701566696167,-0.4306456446647644,0.0007827281951904297,-0.6476654410362244,0.2981722354888916,-0.8851847648620605,-0.029571890830993652,0.02743929624557495,0.32766446471214294,-0.07124484330415726,-0.382009357213974,0.014053559166857405,0.006859824061393738,0.00032043945983062307,0.044063590466976166,0.09367005224346414,0.0,0.0
7,0.35000000000000003,0.011764493770897388,False,-0.22010278701782227,-0.39635714888572693,0.4822333753108978,0.10871285200119019,-0.11124125123023987,0.31940439343452454,-0.44430696964263916,0.2033584713935852,-0.41144105792045593,0.4737437069416046,-0.054817263036966324,-0.08225655555725098,-0.2113153040409088,-0.14007046818733215,0.014053559166857405,0.0,0.00032043945983062307,0.0,0.12084826524376169,0.0,0.0
8,0.4,0.060610927641391754,False,0.27160534262657166,0.4917081296443939,0.5532703995704651,0.07103702425956726,0.2097906768321991,0.32103192806243896,-0.046999186277389526,0.39730778336524963,0.05126205459237099,0.4627031087875366,-0.3358740210533142,-0.2810567617416382,-0.0042451354674994946,0.20707017183303833,0.02686907281495015,0.0,0.00032043945983062307,0.06790133565664291,0.1386075213086535,0.052447669208049774,0.0
9,0.45,0.07393773645162582,False,0.5555469393730164,0.2839415967464447,0.6075825691223145,0.054312169551849365,0.14633901417255402,-0.06345166265964508,-0.434052437543869,-0.3870532512664795,-0.1809517741203308,-0.2322138249874115,-0.2570403218269348,0.0788336992263794,0.1358603686094284,0.1401055008172989,0.014053559166857405,0.0,0.034285531612187725,0.1388867348432541,0.15218556369661584,0.036584753543138504,0.0
10,0.5,-0.5548768043518066,False,0.651311993598938,0.09576505422592163,0.7200856804847717,0.11250311136245728,-0.2323976755142212,-0.378736674785614,-0.6266406774520874,-0.19258823990821838,-0.27498286962509155,-0.09403109550476074,-0.2765023410320282,-0.019462019205093384,0.10779618471860886,-0.02806418389081955,0.014053559166857405,0.0,0.027269485639482838,0.1628279983997345,0.18031134153723016,0.0,0.0
